W_Name,Class,Direction,Time
W_79,car,route_0,6.9328979
W_81,car,route_0,6.932915900000001
W_14,truck,route_1,8.550574000000001
W_215,bus,route_1,13.8954805
W_269,bus,route_1,16.6718804
W_366,bus,route_1,21.8938512
W_443,truck,route_1,25.66551
W_467,bus,route_1,26.9162152
W_493,bus,route_1,28.8273745
W_558,car,route_1,31.765702100000002
W_659,car,route_1,35.895276499999994
W_530,car,route_2,36.7791607
W_709,car,route_2,38.8456261
W_758,bus,route_1,39.8762596
W_848,car,route_2,44.9730898
W_901,car,route_2,47.4047717
W_918,car,route_2,48.0643099
W_1098,car,route_2,56.485744499999996
W_1105,car,route_2,56.6334393
W_1210,car,route_0,60.323727299999995
W_1262,bus,route_1,65.19350320000001
W_1312,car,route_2,66.45566790000001
W_1326,truck,route_2,67.26513940000001
W_1414,car,route_0,72.3043215
W_1412,car,route_2,79.63793770000001
W_1680,car,route_1,80.0061001
W_1712,car,route_1,81.4086784
W_1806,car,route_2,87.082976
W_1909,truck,route_1,87.8987816
W_1970,car,route_2,89.9714198
W_1977,car,route_1,90.1908848
W_2166,motorcycle,route_2,96.164754
W_2311,car,route_2,101.1890333
W_2346,car,route_2,101.4119062
W_2379,car,route_2,102.44381080000001
W_2397,car,route_0,102.9601919
W_2499,car,route_2,108.5002213
W_2698,truck,route_1,111.0085881
W_2826,car,route_2,116.1649537
W_2964,car,route_2,120.4013956
W_3336,car,route_2,133.9325979
W_3585,car,route_2,141.4004954
W_3596,car,route_2,141.6953141
W_3621,car,route_2,142.5901239
W_3650,car,route_0,143.6196809
W_3659,car,route_1,143.9904807
W_3674,car,route_1,144.7311512
W_3701,car,route_2,145.5451021
W_3697,car,route_1,145.6179957
W_3720,car,route_1,146.1314543
W_3735,car,route_1,146.5692197
W_3756,car,route_1,147.08429180000002
W_3822,motorcycle,route_2,149.740081
W_3832,motorcycle,route_2,150.1079793
W_3846,car,route_1,150.9173384
W_3874,car,route_0,153.3412112
W_4049,truck,route_1,159.9653384
W_4442,truck,route_2,177.5732404
W_4747,car,route_0,182.5867714
W_4620,car,route_2,182.6596924
W_4763,car,route_0,184.0615119
W_4810,car,route_0,184.8681947
W_4862,car,route_0,186.7048642
W_4579,car,route_1,186.927483
W_4884,car,route_0,187.2952967
W_4889,car,route_0,187.443564
W_4899,car,route_0,187.6627017
W_4906,car,route_0,187.8865546
W_4930,car,route_0,188.4021059
W_4934,car,route_0,188.5487716
W_4944,car,route_0,188.9146945
W_4950,car,route_0,189.1355483
W_4964,car,route_2,191.0459447
W_4985,car,route_1,193.62442570000002
W_5154,car,route_2,196.0401259
W_5156,car,route_0,196.0401342
W_5172,car,route_0,196.25956490000002
W_5179,car,route_0,196.5506947
W_5188,car,route_0,196.9164488
W_5038,truck,route_1,197.5757614
W_5234,car,route_0,198.4517313
W_5242,car,route_0,198.7491048
