S_Name,Class,Direction,Time
S_42,car,route_4,6.4270256
S_66,car,route_4,9.024752300000001
S_92,car,route_4,10.9150784
S_95,car,route_4,11.140203900000001
S_103,car,route_4,11.435749600000001
S_156,car,route_4,15.7645889
S_161,car,route_4,16.2082617
S_171,car,route_4,17.1222769
S_223,motorcycle,route_4,22.3093195
S_248,motorcycle,route_4,23.898509400000002
S_270,car,route_4,25.006265
S_295,car,route_4,26.188395800000002
S_303,car,route_4,26.5857997
S_306,car,route_4,26.7419357
S_311,motorcycle,route_4,26.896507
S_313,car,route_4,26.896514200000002
S_315,car,route_4,27.133598
S_365,car,route_4,28.8113332
S_382,car,route_4,29.603672500000002
S_390,car,route_4,29.764591199999998
S_588,car,route_3,36.4112344
S_625,car,route_5,36.8849322
S_693,car,route_4,39.1837275
S_687,car,route_5,41.3947699
S_766,car,route_3,42.2551416
S_785,car,route_5,42.9050289
S_812,motorcycle,route_3,43.7061352
S_872,car,route_5,45.6227258
S_886,car,route_5,46.0186355
S_890,car,route_5,46.0972595
S_907,car,route_3,46.967286200000004
S_912,car,route_5,47.2820614
S_922,car,route_5,47.6028468
S_944,car,route_5,48.6365359
S_961,car,route_5,48.8733379
S_967,car,route_3,49.034704
S_970,car,route_5,49.1134373
S_974,car,route_5,49.2742346
S_975,car,route_3,49.2742433
S_983,car,route_5,49.5160924
S_1002,car,route_3,50.0702972
S_1033,car,route_4,51.1058546
S_1049,truck,route_3,51.8790343
S_1055,car,route_4,52.1724479
S_1058,car,route_4,52.3193683
S_1072,car,route_5,52.9799121
S_1077,car,route_4,53.126262
S_1082,car,route_5,53.4899057
S_1096,car,route_5,53.930387
S_1105,car,route_5,54.0762658
S_1141,car,route_3,55.2470468
S_1115,car,route_5,56.7968146
S_1202,car,route_5,57.0877349
S_1051,car,route_3,58.3350438
S_1283,car,route_5,59.7279741
S_1289,car,route_5,59.8755226
S_1296,car,route_5,60.0952252
S_1320,car,route_5,60.8278042
S_1326,car,route_3,61.04814640000001
S_1353,car,route_3,61.778108
S_1247,car,route_3,61.8512537
S_1476,motorcycle,route_4,67.27977
S_1633,motorcycle,route_3,80.4417438
S_1652,motorcycle,route_3,81.8993767
S_1619,car,route_3,82.7694588
S_1681,car,route_3,83.6445519
S_1688,motorcycle,route_3,84.1563796
S_1709,motorcycle,route_3,85.4614124
S_1747,car,route_3,89.0978029
S_1788,car,route_5,90.6994763
S_1793,motorcycle,route_4,91.4261596
S_1812,car,route_5,92.1525152
S_1815,motorcycle,route_3,92.29851120000001
S_1840,motorcycle,route_3,94.3992683
S_1880,motorcycle,route_3,96.0016293
S_1939,motorcycle,route_3,98.90669
S_1942,motorcycle,route_3,98.9067114
S_1944,motorcycle,route_3,99.1223968
S_2015,motorcycle,route_3,103.1970948
S_2074,motorcycle,route_3,110.3833623
S_2183,motorcycle,route_3,127.6848934
S_2246,motorcycle,route_4,131.68324230000002
S_2245,motorcycle,route_4,132.47737260000002
S_2301,motorcycle,route_3,141.227781
S_2333,motorcycle,route_4,143.92911909999998
S_2377,motorcycle,route_4,145.67898029999998
S_2402,motorcycle,route_3,148.4696427
S_2372,car,route_4,150.36953039999997
S_2394,car,route_5,153.7377899
S_2481,car,route_4,154.61443100000002
S_2434,car,route_3,155.12537509999999
S_2502,car,route_5,156.00395939999999
S_2519,car,route_3,156.5885437
S_2521,car,route_3,156.7350282
S_2527,car,route_3,156.8809528
S_2410,car,route_4,158.0532336
S_2568,car,route_4,158.8563014
S_2569,car,route_3,158.85631030000002
S_2574,truck,route_4,159.29301959999998
S_2581,car,route_4,159.65567579999998
S_2587,truck,route_4,159.7287394
S_2645,motorcycle,route_3,163.90983310000001
S_2684,motorcycle,route_3,168.0096732
S_2687,motorcycle,route_3,168.37552390000002
S_2690,motorcycle,route_3,168.59309839999997
S_2572,car,route_4,179.5103474
S_2632,car,route_3,181.05207380000002
S_2953,car,route_3,183.90977049999998
S_2959,car,route_3,184.1281303
S_2995,car,route_4,186.1748553
S_3017,car,route_3,187.49910390000002
S_3024,car,route_3,187.71952670000002
S_3050,car,route_3,189.25453929999998
S_3058,car,route_3,189.6934521
S_3068,car,route_3,190.4265342
S_3085,car,route_3,191.96220499999998
S_3097,car,route_3,192.9815992
S_3111,car,route_3,194.07495669999997
S_3115,car,route_3,194.22129159999997
S_3117,car,route_3,194.3677551
S_3123,car,route_3,194.65989059999998
S_3129,car,route_3,195.251442
S_3149,car,route_3,196.50037079999998
S_3148,car,route_3,196.71929039999998
S_3189,car,route_3,199.2136961
S_3203,car,route_3,199.94755750000002
S_3206,car,route_3,200.09336109999998
S_3227,car,route_3,200.89777780000003
S_3256,car,route_3,202.35969569999997
S_3262,car,route_3,202.6535462
S_3270,car,route_3,203.09175340000002
S_3273,car,route_3,203.3119175
S_3295,car,route_3,204.77757810000003
S_3304,car,route_3,205.6597585
S_3311,car,route_3,206.0255209
S_3312,car,route_3,206.09878750000001
S_3320,car,route_3,206.61319150000003
S_3327,car,route_3,207.270914
S_3358,car,route_3,209.8454789
S_3368,car,route_3,210.504095
S_3371,truck,route_4,210.57668669999998
S_3391,car,route_3,211.82256519999999
S_3396,car,route_3,212.33683760000002
S_3398,car,route_3,212.5607283
S_3400,car,route_3,213.00008530000002
S_3426,car,route_3,214.3913832
S_3432,car,route_3,214.97479500000003
S_3440,car,route_4,215.41257439999998
S_3444,car,route_4,215.5592625
