Name,Class,Direction,Time

S_2,car,route_3,4.4865079

S_27,car,route_4,6.275637400000001

S_49,car,route_4,7.332643600000001

S_67,car,route_3,8.549536

S_74,car,route_3,10.1194804

S_85,car,route_3,10.9646849

S_90,car,route_3,11.2183181

S_87,car,route_4,12.6071034

S_9,car,route_4,13.4317159

S_161,car,route_4,16.0049002

S_175,car,route_5,16.983241500000002

S_187,car,route_5,17.8936021

S_26,car,route_5,23.3188201

S_276,motorcycle,route_4,23.7341539

S_268,car,route_4,26.0491538

S_311,car,route_4,26.4588571

S_324,car,route_4,27.4430526

S_326,car,route_4,27.6053758

S_327,car,route_4,27.9374769

S_342,car,route_3,29.490242900000002

S_352,truck,route_4,30.228568

S_358,car,route_4,30.9727736

S_381,car,route_3,32.446441500000006

S_419,truck,route_4,35.148298499999996

S_432,car,route_4,36.21753459999999

S_445,car,route_3,37.366021200000006

S_454,car,route_4,38.10671910000001

S_452,motorcycle,route_4,38.1836813

S_459,car,route_4,38.34726500000001

S_468,truck,route_3,38.5924725

S_473,truck,route_3,38.7556139

S_513,car,route_4,42.6288512

S_553,car,route_4,46.5816205

S_571,car,route_4,48.228240799999995

S_583,car,route_4,48.980997099999996

S_594,car,route_4,49.7968812

S_600,car,route_4,50.2819703

S_601,car,route_4,50.5262618

S_561,car,route_3,50.6879309

S_612,car,route_3,51.542950700000006

S_616,motorcycle,route_4,51.8767105

S_619,motorcycle,route_4,52.483809199999996

S_636,car,route_4,54.6291174

S_637,car,route_4,54.792962200000005

S_652,car,route_4,55.954092200000005

S_670,car,route_4,57.7041368

S_687,car,route_4,59.801390600000005

S_691,car,route_4,60.10917379999999

S_355,car,route_5,60.775296

S_698,car,route_4,60.949744300000006

S_701,car,route_4,61.391258300000004

S_716,car,route_4,62.2015634

S_720,car,route_3,63.346701499999995

S_760,car,route_4,66.41222379999999

S_788,motorcycle,route_4,69.3940726

S_845,car,route_5,74.5920955

S_861,motorcycle,route_4,76.5223092

S_878,car,route_3,77.88414709999999

S_908,car,route_4,81.3274754

S_892,car,route_3,82.12010149999999

S_916,car,route_4,83.09078439999999

S_899,car,route_4,83.679799

S_918,car,route_3,83.6798428

S_929,car,route_3,84.790863

S_946,car,route_4,85.38524079999999

S_955,car,route_4,86.19925549999999

S_960,car,route_4,86.34902919999999

S_966,car,route_4,86.57271519999999

S_967,car,route_4,86.86862789999999

S_976,car,route_4,87.4621781

S_978,truck,route_4,87.5360078

S_1014,truck,route_4,89.7693527

S_1029,truck,route_4,90.43200379999999

S_1035,truck,route_4,90.7328976

S_1078,car,route_5,93.2452988

S_1073,car,route_3,93.3936406

S_1094,car,route_3,94.28441959999999

S_1099,car,route_3,94.8745824

S_1139,truck,route_4,96.7971189

S_1156,motorcycle,route_4,97.6101347

S_1163,motorcycle,route_4,98.4298012

S_1186,car,route_4,100.7243075

S_1190,car,route_4,101.3862209

S_1195,truck,route_4,101.9761877

S_1201,truck,route_4,102.2729616

S_1203,truck,route_3,102.3483321

S_1205,truck,route_4,102.4218933

S_1208,truck,route_3,102.5717875

S_1210,truck,route_3,102.7175996

S_1218,truck,route_3,103.3077375

S_1116,car,route_3,104.19505079999999

S_1224,truck,route_4,104.19507209999999

S_1230,motorcycle,route_4,105.0092545

S_1233,car,route_4,105.6720794

S_1234,car,route_4,105.898827

S_1235,car,route_4,106.19337639999999

S_1240,car,route_4,106.78862819999999

S_1270,car,route_4,111.7404494

S_1275,truck,route_3,113.3618487

S_1298,truck,route_3,116.2364012

S_1307,truck,route_3,117.3434941

S_1308,truck,route_3,117.4919912

S_1331,car,route_4,119.8918427

S_237,car,route_3,121.9639229

S_1359,car,route_4,124.25775689999999

S_1368,car,route_4,124.93142569999999

S_1396,car,route_5,128.11753710000002

S_1410,car,route_4,130.77310490000002

S_1431,car,route_4,133.650157

S_1436,car,route_4,134.0939668

S_1438,car,route_4,134.2400763

S_1445,car,route_3,135.2683701

S_1448,car,route_5,135.4150207

S_1454,car,route_5,136.8924684

S_1457,car,route_5,137.18704490000002

S_1461,car,route_5,137.3333282

S_1459,car,route_3,137.4066402

S_1468,car,route_4,138.29614600000002

S_1485,car,route_4,139.7020593

S_1533,car,route_4,146.3515537

S_1616,truck,route_3,157.71929500000002

S_1627,car,route_4,159.63896060000002

S_1628,car,route_3,159.7127541

S_1631,car,route_4,160.52152130000002

S_1611,car,route_3,160.8911009

S_1634,car,route_4,161.18285010000002

S_1640,truck,route_3,161.77228540000002

S_1644,truck,route_3,161.91793460000002

S_1651,truck,route_3,162.5795945

S_1655,truck,route_3,163.0963902

S_1697,car,route_5,167.9630332

S_1711,car,route_5,170.9927313

S_1716,car,route_3,171.5806904

S_1719,truck,route_3,171.8022

S_1720,car,route_5,171.8022175

S_1723,car,route_5,172.31714340000002

S_1725,car,route_5,172.6837451

S_1698,car,route_3,173.1249792

S_1730,car,route_3,173.34448940000001

S_1732,car,route_3,173.5669512

S_1738,car,route_4,175.2625058

S_1776,car,route_4,179.55249940000002

S_1787,car,route_4,181.4776324

S_1790,car,route_4,181.6991094

S_1860,car,route_4,188.42313800000002

S_1899,car,route_4,191.15395600000002

S_1902,car,route_4,191.3758535

S_1948,car,route_4,195.0695274

S_1784,car,route_5,195.73128290000002

S_2013,car,route_4,199.84864090000002

S_2070,car,route_3,203.3197848

S_2116,car,route_3,206.04401990000002

S_2122,car,route_3,206.3376341

S_2125,car,route_3,206.6343251

S_2136,truck,route_3,208.4782551

S_2157,car,route_4,209.06710790000002

S_2145,car,route_4,209.1401353

S_2178,car,route_4,209.8008866

S_2183,car,route_4,210.0218036

S_2187,car,route_3,210.0957271

S_2189,car,route_4,210.2431449

S_2186,truck,route_4,210.3907493

S_2201,truck,route_4,211.0542512

S_2220,truck,route_4,211.7920928

S_2238,truck,route_4,212.67319650000002

S_2254,car,route_5,213.1193264

S_2259,car,route_5,213.3478197

S_2287,car,route_3,214.60964940000002

S_2314,car,route_3,215.7954769

S_2320,car,route_4,215.9426807

S_2329,car,route_4,216.31593790000002

S_2332,car,route_4,216.461416

S_2327,car,route_3,216.6832395

S_2352,truck,route_4,217.12523140000002

S_2385,car,route_4,218.97703890000003

S_2188,car,route_5,219.4170191

S_2399,car,route_4,219.5668491

S_2407,car,route_4,219.93826460000002

S_2416,truck,route_3,220.5983104

S_2427,car,route_4,221.03871180000002

S_2434,car,route_3,221.62947490000002

S_2441,car,route_3,221.9971931

S_2433,car,route_4,222.14611630000002

S_2449,truck,route_3,222.58573700000002

S_2456,motorcycle,route_4,223.1014246

S_2451,truck,route_3,223.5460945

S_2472,car,route_3,224.5031365

S_2497,car,route_4,225.7569396

S_2507,car,route_4,226.4182197

S_2517,car,route_3,227.00875000000002

S_2518,car,route_3,227.23469060000002

S_2536,car,route_4,228.2620722

S_2564,motorcycle,route_4,230.54233680000002

S_2604,car,route_3,232.6690279

S_2606,car,route_4,232.8205618

S_2619,car,route_4,233.9222981

S_2636,motorcycle,route_4,234.5112029

S_2647,car,route_4,234.87860640000002

S_2652,car,route_3,235.0301001

S_2658,car,route_3,235.17752240000002

S_2667,car,route_3,235.9171712

S_2689,car,route_3,237.0957375

S_2695,car,route_4,237.24348020000002

S_2698,car,route_4,237.46275010000002

S_2710,car,route_4,238.2306282

S_2717,car,route_4,238.3837187

S_2758,car,route_4,241.5884667

S_2773,car,route_3,242.5421906

S_2776,car,route_3,242.8348785

S_2781,car,route_4,243.2768436

S_2784,car,route_4,243.49771410000002

S_2740,car,route_3,244.9664836

S_2822,car,route_4,246.0724585

S_2850,car,route_4,247.69703320000002

S_2856,car,route_4,248.21544690000002

S_2863,car,route_5,248.5873213

S_2870,car,route_5,249.03155700000002

S_2873,car,route_5,249.40068390000002

S_2875,car,route_5,249.76931100000002

S_2878,car,route_5,249.99238580000002

S_2879,car,route_3,250.3661232

S_2924,car,route_4,252.6847514

S_2943,car,route_4,254.56442520000002

S_2994,car,route_4,257.0661755

S_3011,car,route_4,257.3673063

S_3016,car,route_4,257.5930249

S_3157,car,route_4,261.719511

S_3134,car,route_3,262.0896863

S_3183,car,route_4,262.3178509

S_3192,car,route_4,262.5384439

S_3206,car,route_4,262.83214000000004

S_3220,car,route_3,263.6452731

S_2912,car,route_5,263.9427404

S_3261,car,route_3,264.4646784

S_3271,car,route_3,264.7612379

S_3292,car,route_3,265.5747557

S_3300,car,route_4,265.9454595

S_3390,car,route_5,268.6605798

S_3349,car,route_4,268.9623694

S_3399,car,route_4,268.9624334

S_3407,car,route_4,269.1111934

S_3412,car,route_4,269.2635879

S_3424,car,route_5,269.4868819

S_3450,car,route_5,270.3164972

S_3457,car,route_4,270.6927771

S_3503,truck,route_3,271.6029008

S_3551,car,route_4,272.6575851

S_3567,car,route_4,272.9625902

S_3597,car,route_5,273.727009

S_3614,car,route_5,274.0273689

S_3652,motorcycle,route_3,274.8572707

S_3661,car,route_5,275.08518580000003

S_3666,car,route_5,275.5401451

S_3574,car,route_3,275.6150415

S_3694,car,route_5,275.767743

S_3709,car,route_4,276.2244798

S_3722,car,route_4,276.5263288

S_3726,car,route_4,276.6784347

S_3740,car,route_4,276.9787826

S_3749,car,route_4,277.1284117

S_3764,car,route_4,277.6613823

S_3873,car,route_4,280.1609102

S_3876,car,route_4,280.3133086

S_3884,car,route_5,280.463403

S_3792,car,route_3,280.76951710000003

S_3912,car,route_4,281.14852110000004

S_3919,car,route_4,281.2985337

S_3936,car,route_4,281.6864273

