S_Name,Class,Direction,Time
S_73,motorcycle,route_3,80.8692183
S_97,motorcycle,route_3,92.28448329999999
S_144,motorcycle,route_3,122.9281647
S_168,motorcycle,route_5,139.79662950000002
S_203,motorcycle,route_3,168.5134706
S_244,motorcycle,route_3,264.2148842
S_252,motorcycle,route_5,267.1932708
S_281,car,route_3,272.7776972
S_282,motorcycle,route_3,273.35870259999996
S_288,motorcycle,route_3,276.12334949999996
S_292,motorcycle,route_3,277.28781549999997
S_294,motorcycle,route_3,277.50349239999997
S_296,motorcycle,route_3,277.6475797
S_373,motorcycle,route_4,380.91496839999996
S_382,car,route_5,383.0259008
S_384,car,route_5,384.26173
S_414,car,route_3,393.72629029999996
S_424,car,route_3,395.0398654
S_500,car,route_3,408.3011186
S_540,car,route_5,430.1996473
S_595,car,route_5,437.2165498
S_543,car,route_3,437.5792738
S_616,car,route_3,441.301519
S_617,car,route_3,441.44991219999997
S_619,car,route_3,441.743545
S_620,car,route_4,441.74356159999996
S_622,car,route_3,442.0345331
S_659,motorcycle,route_3,460.1065395
S_666,car,route_5,480.0029942
S_670,car,route_5,480.6570336
S_704,bus,route_3,509.7621054
S_718,car,route_3,514.6442458
S_723,car,route_3,515.3729808
S_739,car,route_3,556.5936388
S_740,car,route_3,556.7379450000001
S_741,car,route_3,556.9611817
S_847,motorcycle,route_5,638.6334788
S_856,motorcycle,route_5,664.0957430000001
S_874,motorcycle,route_5,690.4978768000001
S_898,motorcycle,route_3,696.1553425000001
S_904,motorcycle,route_4,697.030061
S_952,car,route_3,713.6694784
S_959,motorcycle,route_5,714.6139656
S_967,motorcycle,route_5,714.9017538
S_1002,car,route_3,727.5543905000001
S_1016,car,route_3,731.2641482
S_997,car,route_5,732.0701344
S_1044,car,route_3,733.6737083
S_1067,car,route_3,741.8676169
S_1072,bus,route_3,751.3550365
S_1139,car,route_3,860.4710226000001
S_1148,car,route_4,861.5637671000001
S_1152,car,route_4,861.9316815000001
S_1201,car,route_3,881.4223926000001
S_1234,car,route_3,928.8648623
S_1236,car,route_3,929.3068169000001
S_1257,car,route_3,934.7631334
S_1310,car,route_5,962.9137115000001
S_1311,car,route_3,967.0613209
S_1354,car,route_3,1008.6801393000001
S_1356,car,route_3,1009.1142073000001
S_1366,car,route_3,1011.9656877
S_1372,car,route_3,1013.7851244000001
S_1373,car,route_3,1013.9363052
S_1374,car,route_3,1014.2272511
S_1375,motorcycle,route_5,1014.3036253
S_1437,car,route_3,1030.6113552
S_1477,car,route_3,1060.7943983
S_1480,truck,route_3,1061.5254665
S_1481,truck,route_3,1061.8137325
S_1486,motorcycle,route_5,1074.6749697999999
S_1489,car,route_5,1076.8557337999998
S_1520,motorcycle,route_5,1117.3279684
S_1554,motorcycle,route_3,1171.4045010999998
S_1576,car,route_3,1208.2297148999999
S_1584,car,route_3,1232.8026266
S_1588,car,route_3,1235.4310057
S_1618,motorcycle,route_5,1276.7590754
S_1642,car,route_3,1328.4179225
S_1665,car,route_3,1341.8984111999998
S_1684,car,route_3,1345.8965005999999
S_1687,car,route_3,1346.6200264
S_1689,car,route_3,1347.202024
S_1695,car,route_3,1348.2265699
S_1702,car,route_3,1350.3360395999998
S_1761,car,route_3,1395.6579877
S_1773,car,route_3,1396.0209393
S_1786,car,route_3,1406.0150452
S_1808,car,route_3,1435.9608681
S_1821,car,route_3,1438.1442103
S_1860,car,route_3,1445.4389783
S_1862,car,route_3,1445.6559588
S_1864,car,route_3,1445.8762419
S_1875,car,route_3,1447.7027108999998
S_1879,car,route_3,1447.8484804999998
S_1912,car,route_3,1461.6356160999999
S_1914,car,route_3,1467.4730611999998
S_1938,car,route_3,1467.9140671
S_1960,car,route_3,1469.9554541
S_1840,car,route_3,1470.4670796999999
S_1968,car,route_3,1471.1206307
S_1972,car,route_5,1472.500582
S_1974,car,route_3,1475.347794
S_2040,car,route_3,1516.0762516999998
S_2042,car,route_3,1516.4402182
S_2050,car,route_5,1517.6724560999999
S_2056,car,route_5,1518.5462704
S_2073,car,route_3,1522.0319666
S_2074,car,route_3,1522.4669655
S_2092,car,route_3,1558.0912203
S_2093,car,route_3,1558.4585915999999
S_2094,car,route_3,1558.6741408
S_2132,motorcycle,route_5,1600.121975
S_2136,motorcycle,route_5,1600.4115679
S_2169,motorcycle,route_3,1731.8342891999998
S_2198,motorcycle,route_5,1765.4678476
S_2226,bus,route_3,1782.2171783
S_2239,motorcycle,route_5,1802.6012200999999
S_2260,car,route_3,1822.7685222999999
S_2264,car,route_3,1824.3014809
S_2265,motorcycle,route_3,1824.6617173
S_2283,car,route_3,1902.6983318
S_2293,car,route_3,1904.0191834
S_2296,car,route_3,1904.1633811
S_2303,car,route_5,1906.5721102
S_2308,car,route_5,1906.9332153
S_2312,car,route_5,1907.2220373999999
S_2314,car,route_4,1907.3684469999998
S_2333,motorcycle,route_5,1947.7848519
S_2335,motorcycle,route_5,1948.8752826999998
S_2360,motorcycle,route_5,1965.5104711
S_2396,car,route_3,1997.966594
S_2395,car,route_5,1999.0626409
S_2402,car,route_3,2000.2294906
S_2403,car,route_5,2001.0295188
S_2405,car,route_5,2001.4661856
S_2415,car,route_5,2004.902731
S_2417,car,route_5,2005.0492267
S_2419,car,route_5,2006.1477691
S_2420,car,route_5,2006.3653190999999
S_2421,car,route_5,2006.5817584
S_2439,car,route_5,2009.0661215999999
S_2444,car,route_3,2009.579471
S_2451,car,route_5,2011.7744824
S_2453,car,route_3,2011.9190712
S_2509,car,route_3,2043.109463
S_2573,motorcycle,route_3,2055.2522685999998
S_2574,car,route_3,2055.6179313
S_2592,motorcycle,route_5,2073.1858582
S_2611,motorcycle,route_5,2091.3708687999997
S_2622,motorcycle,route_5,2095.0030776999997
S_2641,motorcycle,route_3,2143.2734659
S_2714,motorcycle,route_5,2195.1616240999997
S_2716,motorcycle,route_5,2195.7430737
S_2723,motorcycle,route_3,2212.5473425
S_2726,car,route_4,2217.5369318
S_2738,motorcycle,route_3,2229.0553433
S_2739,car,route_5,2229.9308419999998
S_2746,car,route_5,2230.8045888
S_2755,motorcycle,route_3,2233.7197296
S_2794,car,route_5,2276.0236372
S_2797,car,route_5,2278.4920228
S_2856,car,route_3,2334.1260045999998
S_2879,motorcycle,route_5,2344.5650636
S_2907,car,route_5,2428.0404275
S_2977,car,route_3,2448.9644368
S_2981,bus,route_3,2450.20372
S_2976,car,route_5,2453.0473753
S_3003,car,route_3,2453.9238798
S_3041,car,route_5,2466.9778877999997
S_3090,car,route_5,2469.1668591
S_3097,truck,route_5,2469.6005416
S_3103,truck,route_5,2470.8449185
S_3195,car,route_3,2530.042738
S_3232,car,route_5,2559.1549299
S_3234,car,route_5,2559.8065306999997
S_3245,car,route_5,2578.3580238
S_3247,car,route_5,2578.6513566
S_3316,car,route_5,2617.5010638999997
S_3320,car,route_5,2619.6842511
S_3352,motorcycle,route_5,2654.8056791999998
S_3355,car,route_5,2655.3099764
S_3356,car,route_5,2655.4553895999998
S_3358,car,route_5,2655.8913439
S_3411,car,route_3,2682.9194841
S_3414,car,route_3,2683.1356051
S_3407,motorcycle,route_5,2683.7112051
S_3426,car,route_3,2686.0959336
S_3412,car,route_3,2695.3813794
S_3533,car,route_3,2697.6289567
S_3537,car,route_3,2698.1331503
S_3695,car,route_3,2771.4776355
S_3679,car,route_3,2775.5576442
S_3744,car,route_3,2777.0111303
S_3751,car,route_3,2778.2444717999997
S_3759,car,route_3,2778.7560303
S_3760,car,route_3,2778.8993714
S_3793,car,route_3,2826.6482751999997
S_3827,motorcycle,route_5,2899.7843334
S_3838,motorcycle,route_5,2938.8322128
S_3904,motorcycle,route_5,3113.9809649999997
S_3919,motorcycle,route_3,3131.3086205
S_3933,car,route_5,3154.464284
S_3941,car,route_3,3167.7227969
S_3942,car,route_5,3169.238045
S_3943,car,route_3,3171.480184
S_3944,car,route_3,3172.7081941
S_3945,car,route_3,3172.9999542
S_3946,car,route_3,3173.2150186
S_3958,car,route_3,3206.7053189
S_3960,car,route_4,3207.0629802999997
S_3972,motorcycle,route_5,3220.0066603
S_4008,car,route_4,3285.5676995
S_4011,motorcycle,route_5,3286.2854776
S_4012,motorcycle,route_5,3286.7215685
S_4046,car,route_5,3308.7190613
S_4058,car,route_5,3311.1178065
S_4059,car,route_5,3311.2621583
S_4060,car,route_5,3311.6946675
S_4051,car,route_3,3312.5672574
S_4073,car,route_5,3313.0752342
S_4097,car,route_4,3321.343116
S_4087,car,route_5,3322.583459
S_4133,car,route_3,3333.1809714
S_4134,car,route_3,3333.5453447
S_4157,car,route_3,3348.3353789
S_4198,car,route_5,3355.8847258
S_4202,car,route_5,3356.3195341
S_4204,car,route_5,3356.8983493
S_4213,car,route_3,3359.0686105
S_4221,car,route_3,3376.7336010999998
S_4222,car,route_3,3376.9498326
S_4470,car,route_3,3531.5349009
S_4473,car,route_3,3531.8950673
S_4475,car,route_3,3532.6207028999997
S_4513,car,route_3,3590.3374392
S_4518,car,route_3,3591.1341619
S_4524,car,route_5,3591.7878559
S_4628,motorcycle,route_5,3665.9876948
S_4666,motorcycle,route_5,3683.0646253
S_4708,truck,route_3,3700.2385134
S_4741,bus,route_5,3794.0703227999998
S_4745,truck,route_5,3795.2959957
S_4803,car,route_5,3864.2184975
S_4833,car,route_5,3868.7859621
S_4850,car,route_3,3872.4898508
S_4856,car,route_3,3872.9937839
S_4822,car,route_3,3877.3533546
S_4894,bus,route_3,3879.7578138
S_4898,car,route_3,3880.8502733
S_4941,car,route_3,3890.6673917
S_4942,car,route_3,3890.8170895
S_4917,car,route_5,3894.9599769
S_5000,motorcycle,route_5,3910.0516432
S_5036,motorcycle,route_3,3957.9048472
S_5042,car,route_3,3964.3602387
S_5064,car,route_3,3978.5331208
S_5065,car,route_3,3978.6763774
S_5110,car,route_3,3997.5965483
S_5112,car,route_3,3998.0621748
S_5115,car,route_3,3999.1607821
S_5196,motorcycle,route_5,4040.4337414
S_5232,car,route_3,4059.0182096
S_5234,car,route_3,4060.3986808
S_5237,car,route_3,4060.8335015
S_5241,car,route_3,4062.071923
S_5266,car,route_3,4070.5782417
S_5267,car,route_3,4071.092752
S_5268,car,route_3,4071.3107814
S_5269,car,route_3,4072.0383797
S_5270,car,route_3,4072.4001853
S_5312,car,route_3,4079.2698116
S_5323,car,route_3,4079.5576469
S_5326,car,route_5,4079.9884901
S_5329,car,route_5,4081.1427679
S_5335,car,route_3,4081.7233619
S_5336,car,route_5,4081.9410425
S_5396,truck,route_3,4110.1843663
S_5455,car,route_5,4121.6875629999995
S_5461,motorcycle,route_5,4125.7507735
S_5672,motorcycle,route_5,4232.0552838
S_5775,car,route_5,4301.3227283
S_5845,motorcycle,route_5,4369.7036379
S_5866,car,route_3,4396.6629268
S_5867,car,route_3,4396.8787624
S_5868,car,route_3,4397.0986378
S_5888,car,route_3,4410.3225153
S_5897,car,route_3,4411.9865141
S_5898,car,route_3,4412.1297825
S_5953,motorcycle,route_3,4434.3247879
S_6067,car,route_3,4457.3948703999995
S_6070,car,route_3,4457.9755030999995
S_6073,car,route_3,4458.1211313
S_6074,car,route_3,4458.2644693
S_6352,truck,route_3,4535.3546538
S_6364,car,route_5,4543.3290511
S_6369,car,route_5,4544.629717
S_6371,car,route_5,4544.9946534
S_6411,car,route_5,4555.0617168
S_6423,car,route_5,4557.537024
S_6424,car,route_3,4557.6081392999995
S_6477,motorcycle,route_5,4577.2680036
S_6478,motorcycle,route_5,4577.7766948
S_6482,motorcycle,route_5,4578.0692694
S_6508,car,route_3,4585.3189672
S_6552,car,route_5,4607.5457261
S_6626,car,route_5,4625.2887942
S_6628,car,route_5,4625.6496296
S_6661,car,route_5,4636.6255582
S_6666,car,route_5,4637.4979967
S_6669,car,route_5,4637.85891
S_6704,car,route_5,4644.2023997999995
S_6671,car,route_3,4646.0979423
S_6734,car,route_3,4650.2608941
S_6759,car,route_3,4650.9940244
S_6760,car,route_3,4650.9940411
S_6762,car,route_3,4651.359824
S_6765,car,route_3,4651.5783616
S_6769,car,route_3,4652.0928821
S_6721,car,route_5,4654.7064676
S_6786,car,route_5,4655.5842107
S_6852,car,route_3,4665.8860681999995
S_6866,car,route_3,4667.1969186
S_6885,car,route_3,4669.0144543
S_6883,car,route_3,4669.1580501
S_6887,car,route_3,4669.2299727
S_6888,car,route_3,4669.4472109
S_6911,car,route_5,4709.6871811
S_6971,motorcycle,route_5,4728.5878438
S_6977,motorcycle,route_3,4729.1678776
S_6990,car,route_3,4730.4756368
S_6993,car,route_3,4730.8368146
S_7010,motorcycle,route_3,4733.2268531
S_7009,motorcycle,route_5,4733.8786532
S_7092,car,route_3,4747.8030927
S_7128,car,route_3,4763.9542529
S_7130,car,route_3,4764.5343231
S_7183,motorcycle,route_5,4780.2870996
S_7187,motorcycle,route_5,4780.5769471
S_7211,car,route_3,4787.897719
S_7217,car,route_3,4788.5480484
S_7291,car,route_5,4798.9228184
S_7319,car,route_3,4802.1965003
S_7341,car,route_5,4806.1908758
S_7373,car,route_5,4807.5005304999995
S_7383,truck,route_3,4813.5742671
S_7404,car,route_5,4815.0907139
S_7415,car,route_5,4816.5443275
S_7425,car,route_5,4816.9809075
S_7497,car,route_5,4875.4043402
S_7495,car,route_5,4877.9510336
S_7558,motorcycle,route_5,4887.560452
S_7592,car,route_3,4894.2973114
S_7593,car,route_3,4894.4496384
S_7596,car,route_3,4894.5992273
S_7611,bus,route_3,4896.4217355
S_7775,motorcycle,route_5,4948.8407306
S_7791,car,route_5,4970.0082846
S_7863,car,route_5,4994.4878923
S_7913,car,route_3,5004.5584997
S_7944,car,route_3,5015.8186755
S_7998,car,route_5,5028.398693
S_8018,car,route_5,5029.5599397999995
S_8041,car,route_5,5032.6194315
S_8035,car,route_5,5032.8367402
S_8047,car,route_5,5033.6385278
S_8190,car,route_3,5077.3128734
S_8222,car,route_3,5087.038849
S_8223,car,route_3,5087.1112121
S_8230,motorcycle,route_3,5087.9821442
S_8232,car,route_5,5088.1982632
S_8318,car,route_5,5122.13431
S_8332,car,route_5,5123.2931367
S_8423,motorcycle,route_5,5168.4523028
S_8437,motorcycle,route_5,5168.8129882
S_8473,car,route_3,5174.4837899
S_8651,car,route_3,5242.4836995
S_8654,car,route_3,5243.0622599
S_8686,car,route_3,5254.5247848
S_8800,car,route_5,5347.7917285
S_8840,motorcycle,route_3,5359.7387662
S_8861,car,route_5,5363.9482456
S_8862,motorcycle,route_5,5364.3095349
S_8863,motorcycle,route_3,5364.3816855
S_8900,motorcycle,route_5,5416.0747134
S_8945,motorcycle,route_3,5436.2787604
S_8978,motorcycle,route_5,5468.2895452
S_8980,car,route_3,5468.3606917
S_8981,motorcycle,route_3,5468.5045492
S_8982,motorcycle,route_3,5468.6479745
S_8983,motorcycle,route_5,5468.7196668999995
S_9022,car,route_3,5474.2311211999995
S_9074,car,route_3,5489.5670793
S_9076,car,route_3,5489.8584329
S_9082,car,route_3,5492.9697376
S_9125,motorcycle,route_4,5532.1092111
S_9142,motorcycle,route_5,5535.4360663
S_9143,motorcycle,route_5,5535.6563349
S_9155,motorcycle,route_5,5537.026047
S_9194,truck,route_3,5541.8007576
S_9208,car,route_5,5543.1859251
S_9257,car,route_3,5574.123926
S_9296,car,route_3,5587.6320857
S_9291,truck,route_5,5590.3279602
S_9301,truck,route_5,5591.4927822
S_9303,truck,route_5,5591.6372531
S_9372,car,route_5,5637.0864884
S_9374,car,route_5,5637.235374
S_9375,car,route_3,5637.4513911
S_9377,motorcycle,route_5,5637.8170904
S_9425,motorcycle,route_5,5653.2316648
S_9426,motorcycle,route_5,5653.4520683
S_9445,motorcycle,route_3,5660.1150441
S_9475,motorcycle,route_5,5673.6488529
S_9492,car,route_3,5678.2128998
