E_Name,Class,Direction,Time
E_137,car,route_8,17.6571493
E_189,bus,route_6,23.3989932
E_195,car,route_8,24.2733116
E_245,truck,route_8,30.0163245
E_283,truck,route_8,35.436420299999995
E_277,bus,route_6,37.173469499999996
E_303,bus,route_6,39.2764945
E_334,truck,route_6,44.9793507
E_365,motorcycle,route_6,74.03626779999999
E_392,motorcycle,route_7,81.40217609999999
E_410,motorcycle,route_6,93.5530801
E_415,motorcycle,route_6,93.7670133
E_432,motorcycle,route_6,96.4347265
E_434,motorcycle,route_6,96.79104029999999
E_408,car,route_7,98.31131049999999
E_494,truck,route_8,112.9559695
E_530,motorcycle,route_6,114.0435723
E_535,motorcycle,route_6,114.3328398
E_546,motorcycle,route_8,116.2934889
E_613,motorcycle,route_6,123.90146089999999
E_626,motorcycle,route_6,124.3398572
E_647,motorcycle,route_8,126.0121289
E_670,motorcycle,route_6,127.1716759
E_757,car,route_6,133.8574128
E_796,car,route_6,146.6504033
E_1046,car,route_8,195.21904279999998
E_1158,car,route_7,195.5104988
E_1187,car,route_8,198.84406769999998
E_1281,car,route_8,219.1927351
E_1607,car,route_8,288.484596
E_1798,car,route_8,299.54545340000004
E_1843,bus,route_6,301.7978579
E_1849,bus,route_6,302.0868469
E_1854,bus,route_6,302.15917440000004
E_1861,bus,route_6,302.3769206
E_1873,truck,route_6,302.81146540000003
E_1844,car,route_8,304.54532
E_1952,motorcycle,route_6,308.76559810000003
E_1959,motorcycle,route_6,309.1306005
E_1972,car,route_6,309.931192
E_1918,car,route_6,310.22382430000005
E_1987,car,route_6,311.52925330000005
E_1995,motorcycle,route_7,312.4017289
E_2027,motorcycle,route_7,318.4228163
E_1990,car,route_6,319.28979660000005
E_1906,car,route_8,320.95015490000003
E_2053,motorcycle,route_8,324.0831294
E_2009,car,route_6,324.1550707
E_2047,car,route_8,326.47731000000005
E_2105,car,route_6,345.9579957
E_2153,motorcycle,route_7,357.64103400000005
E_2183,truck,route_7,368.8995208
E_2214,motorcycle,route_6,372.0076098
E_2246,motorcycle,route_6,378.0517757
E_2265,car,route_8,382.46621300000004
E_2260,car,route_6,388.6754048
E_2382,motorcycle,route_6,417.6197543
E_2405,car,route_6,426.9621316
E_2559,motorcycle,route_8,452.3089698
E_2717,motorcycle,route_8,483.93571560000004
E_2720,motorcycle,route_8,484.6608319
E_2731,motorcycle,route_8,485.16771500000004
E_2734,motorcycle,route_8,485.4589123
E_2738,motorcycle,route_8,485.7465738
E_2759,motorcycle,route_8,490.96663240000004
E_2761,motorcycle,route_8,491.11083920000004
E_2774,motorcycle,route_8,492.48771450000004
E_2777,motorcycle,route_8,492.7070678
E_2778,motorcycle,route_8,493.6498412
E_2781,motorcycle,route_8,493.8652784
E_2794,motorcycle,route_8,495.6093877
E_2803,car,route_8,496.410456
E_2792,car,route_7,497.4310269
E_2814,motorcycle,route_8,497.86729440000005
E_2815,motorcycle,route_8,498.16163800000004
E_2820,motorcycle,route_8,498.81251660000004
E_2839,motorcycle,route_7,501.9336194
E_2962,car,route_7,537.3884451
E_3095,car,route_7,542.4716504
E_3161,car,route_7,548.8719324
E_3282,car,route_7,556.7196142
E_3419,car,route_7,572.6127857
E_3422,car,route_7,573.1210903
E_3641,car,route_8,586.8396046
E_3533,car,route_6,590.1744466
E_3638,bus,route_8,591.5573159
E_3742,car,route_6,591.9894098
E_3758,motorcycle,route_7,592.7869877
E_3787,car,route_8,594.3188429
E_3693,bus,route_6,595.6280191000001
E_3813,car,route_7,599.3871051
E_3796,car,route_6,599.7487087000001
E_3864,car,route_6,601.5644974
E_3830,car,route_8,601.8573387
E_3871,car,route_8,602.6553068000001
E_3883,car,route_8,602.8736238
E_3934,car,route_6,605.6355507000001
E_3874,car,route_8,606.4323293
E_3955,car,route_8,609.041778
E_4037,motorcycle,route_6,617.7857184000001
E_4054,car,route_6,621.6221969000001
E_4055,car,route_8,621.9864216
E_4070,car,route_8,622.5751155
E_4079,truck,route_6,625.3962743000001
E_4112,car,route_6,633.1155511000001
E_4168,truck,route_6,637.0900732
E_4173,motorcycle,route_7,639.0389485000001
E_4169,truck,route_8,640.1990929
E_4157,car,route_7,644.0304647
E_4191,motorcycle,route_6,644.4652948
E_4197,motorcycle,route_7,645.9842544
E_4269,truck,route_8,679.4716806
E_4289,truck,route_6,684.8959772000001
E_4339,car,route_6,695.05251
E_4428,motorcycle,route_6,704.333029
E_4435,motorcycle,route_7,704.9878142
E_4476,motorcycle,route_7,722.1739205
E_4602,motorcycle,route_7,751.7683112
E_4627,motorcycle,route_7,760.7905573
E_4644,motorcycle,route_7,762.0281558
E_4693,motorcycle,route_7,767.9149013
E_4689,car,route_7,774.1819319
E_4735,car,route_7,775.2704028
E_4736,car,route_7,775.4144108
E_4834,car,route_6,789.7617735
E_4839,car,route_6,791.4383588000001
E_4841,car,route_6,791.5833773
E_4947,car,route_7,817.7270382
