Name,Class,Direction,Time

E_108,truck,route_7,13.895423099999999

E_306,truck,route_8,26.281786099999998

E_309,truck,route_8,26.453924699999998

E_449,car,route_7,38.51652180000001

E_505,truck,route_8,44.21534389999999

E_542,truck,route_8,46.646471700000006

E_546,car,route_7,46.791386

E_548,car,route_7,46.9422584

E_582,truck,route_8,49.795503

E_661,car,route_7,56.431474800000004

E_666,car,route_7,56.722359499999996

E_671,car,route_7,57.251195800000005

E_678,car,route_7,57.4760168

E_706,car,route_6,59.0230535

E_753,truck,route_8,61.9549251

E_767,car,route_6,62.9820131

E_796,car,route_6,64.8775822

E_805,car,route_7,65.2413975

E_1052,truck,route_7,84.19987780000001

E_1287,car,route_6,101.607941

E_1312,car,route_6,105.0397995

E_1368,car,route_7,110.2125652

E_1399,car,route_6,113.6371352

E_1409,car,route_6,114.2897102

E_1410,car,route_6,114.43916850000001

E_1442,motorcycle,route_7,118.9543012

E_1432,bus,route_8,119.6332209

E_1452,car,route_6,119.7785497

E_1455,car,route_6,120.0677928

E_1475,car,route_6,121.5303464

E_1459,bus,route_8,121.9619218

E_1568,car,route_6,127.95149800000002

E_1616,car,route_6,129.1159692

E_1620,car,route_8,129.1159906

E_1656,motorcycle,route_6,130.5763615

E_1538,car,route_8,131.085268

E_1751,motorcycle,route_8,134.5829952

E_1810,truck,route_7,136.554606

E_1755,car,route_8,137.3585782

E_1863,car,route_8,139.0427888

E_1792,car,route_6,139.4085404

E_1870,car,route_8,141.8130973

E_1886,car,route_7,142.1074953

E_1875,truck,route_6,142.5433945

E_1927,car,route_8,146.110878

E_1975,car,route_7,146.6965573

E_1931,truck,route_6,146.9855992

E_1996,car,route_7,147.568433

E_1983,truck,route_8,149.4648136

E_2033,truck,route_8,149.9044771

E_2004,bus,route_6,150.7069617

E_2057,truck,route_8,153.1752837

E_2088,motorcycle,route_6,154.5557745

E_2089,truck,route_8,155.8682604

E_2141,bus,route_6,159.2165864

E_2232,motorcycle,route_8,160.752139

E_2235,car,route_6,161.6272294

E_2260,car,route_6,161.9252923

E_2279,motorcycle,route_8,163.01900510000002

E_2254,car,route_7,163.091804

E_2285,car,route_7,163.31270560000002

E_2349,car,route_6,166.0824652

E_2382,car,route_6,166.3817151

E_2386,car,route_7,167.3999316

E_2387,car,route_8,167.8378442

E_2427,car,route_7,168.2027026

E_2503,car,route_7,173.9507804

E_2498,truck,route_6,174.4603383

E_2607,car,route_8,181.085242

E_2614,car,route_7,181.7415991

E_2604,car,route_6,182.1069526

E_2656,bus,route_6,183.56425240000002

E_2688,car,route_6,185.2377572

E_2711,car,route_6,185.9715285

E_2671,truck,route_8,186.26121030000002

E_2739,car,route_6,188.22020750000001

E_2732,truck,route_6,188.8758485

E_2747,bus,route_8,190.6935446

E_2784,truck,route_6,192.8029081

