E_Name,Class,Direction,Time
E_75,car,route_7,13.0166982
E_146,car,route_7,17.2589079
E_47,car,route_6,21.5240859
E_185,car,route_8,24.507317200000003
E_215,car,route_6,25.7027632
E_219,car,route_6,25.942025
E_244,car,route_7,33.3774101
E_254,bus,route_8,35.716231
E_301,car,route_7,48.0916935
E_302,car,route_7,50.1367786
E_339,car,route_6,67.3041251
E_373,car,route_6,76.9699575
E_374,car,route_8,77.4092607
E_375,bus,route_6,79.0167409
E_619,car,route_6,117.1351173
E_627,car,route_6,117.9172191
E_694,car,route_6,126.33063209999999
E_708,car,route_6,128.30384880000003
E_718,car,route_6,129.1100123
E_748,car,route_6,133.04990859999998
E_826,car,route_6,139.2374537
E_853,car,route_6,143.99734999999998
E_878,car,route_6,150.0007
E_879,car,route_6,150.15577589999998
E_920,car,route_6,153.3890454
E_944,car,route_6,154.88456580000002
E_966,car,route_6,156.3324379
E_976,car,route_6,157.52161890000002
E_990,car,route_6,158.5540092
E_998,car,route_6,159.9568961
E_1019,car,route_6,164.32881250000003
E_1028,car,route_6,165.77231510000001
E_1060,car,route_6,169.3189876
E_1082,car,route_6,171.6066437
E_1013,car,route_8,174.41095239999999
E_1126,car,route_6,175.9921878
E_1137,car,route_8,176.97144329999998
E_1141,car,route_6,177.79731679999998
E_1135,car,route_7,178.01744409999998
E_1143,car,route_7,178.16358530000002
E_1010,car,route_6,181.16137220000002
E_1176,bus,route_8,186.1721402
E_1187,car,route_6,202.38198190000003
E_1223,bus,route_6,245.51093070000002
E_1284,car,route_6,272.09941649999996
E_1318,car,route_8,285.5644138
E_1364,car,route_8,310.7956738
E_1405,car,route_7,320.27354399999996
E_1410,car,route_7,320.49216709999996
E_1388,car,route_8,320.64055529999996
E_1441,car,route_7,330.8191377
E_1478,car,route_7,335.677852
E_1524,car,route_8,375.64716699999997
E_1527,car,route_8,377.6902214
E_1526,car,route_6,382.22895439999996
E_1536,car,route_7,383.1129424
E_1548,car,route_6,384.0652282
E_1534,car,route_7,385.2431995
E_1551,car,route_8,389.944189
E_1604,bus,route_6,399.6531556
E_1781,truck,route_6,482.208933
E_1822,car,route_8,498.04659419999996
E_1826,car,route_8,498.33995369999997
E_1832,car,route_8,499.5796734
E_1885,car,route_6,510.77435189999994
E_1894,car,route_8,511.4364647
E_2097,car,route_8,565.9560239
E_2498,car,route_7,626.5246873
E_2128,bus,route_6,630.4476321999999
E_2553,car,route_7,635.3528407
E_2572,car,route_7,637.2294783
E_2600,truck,route_6,647.0127555
E_2602,car,route_6,647.4700799
E_2820,car,route_8,771.5848487
E_2942,bus,route_6,804.8474693
E_2977,bus,route_6,811.559489
E_2984,car,route_8,814.9837414
E_3001,car,route_7,817.0323182
E_3043,truck,route_8,855.7865926
E_3122,bus,route_8,882.9511241
E_3403,car,route_6,927.3667478
E_3411,car,route_6,936.337622
E_3503,motorcycle,route_7,937.7471381
E_3458,car,route_7,940.711098
E_3801,car,route_6,968.7470469
E_3977,car,route_8,987.3901416
E_4052,bus,route_6,996.3898849
E_4094,truck,route_8,1001.3713364
E_4110,car,route_8,1003.7892138
E_4165,car,route_6,1017.9138652999999
E_4214,car,route_6,1070.7802061
E_4246,motorcycle,route_6,1076.0683193000002
E_4328,car,route_6,1110.8595791
E_4465,motorcycle,route_8,1152.458392
E_4485,car,route_8,1160.6600173000002
E_4664,car,route_6,1188.5383453000002
E_4682,car,route_8,1191.611742
E_4753,car,route_8,1219.6045302
E_4785,car,route_7,1244.7190603000001
E_4802,bus,route_8,1249.0334635000002
E_4821,bus,route_8,1257.3000949000002
E_4875,motorcycle,route_6,1278.6407208
E_4883,motorcycle,route_6,1280.6886348
E_4966,car,route_7,1296.768
E_4969,car,route_6,1297.5867135
E_5119,car,route_6,1328.2614398
E_5136,car,route_6,1329.5304401
E_5287,car,route_6,1382.0227723
E_5358,car,route_6,1403.6722298000002
E_5356,truck,route_8,1409.9610256
E_5308,car,route_6,1411.0035656
E_5433,car,route_7,1413.2401097000002
E_5434,truck,route_8,1415.9276084
E_5475,bus,route_8,1423.2183653000002
E_5491,car,route_8,1429.9892961
E_5499,bus,route_8,1432.0846013
E_5506,truck,route_8,1439.3067672000002
E_5628,car,route_6,1485.4958342
E_5806,motorcycle,route_8,1540.8508788000001
E_5961,car,route_6,1568.3589527000001
E_6201,car,route_6,1611.9292582
E_6209,car,route_6,1612.3728397
E_6199,car,route_8,1612.5179168000002
E_6245,bus,route_8,1620.547299
E_6298,car,route_8,1652.8338539000001
E_6349,motorcycle,route_7,1683.4258977000002
E_6369,car,route_6,1703.0554639000002
E_6364,car,route_6,1707.8885689
E_6439,truck,route_8,1733.8312911
E_6432,car,route_6,1749.6591742
E_6670,car,route_7,1772.0893492
E_6886,car,route_6,1822.3923096
E_6900,car,route_8,1824.9257322
E_6868,car,route_6,1825.9261919
E_6922,car,route_6,1827.9959201000001
E_6878,bus,route_6,1829.8427163000001
E_7000,car,route_6,1838.3382225
E_7037,truck,route_8,1870.4148036000001
E_7063,car,route_8,1874.4459542000002
E_7054,car,route_6,1877.2092046
E_7126,motorcycle,route_6,1901.7437935
E_7250,motorcycle,route_6,1933.8552522
E_7451,motorcycle,route_6,1977.717468
E_7452,motorcycle,route_6,1977.8690788000001
E_7440,car,route_7,1979.9127086
E_7458,car,route_7,1982.7984262
E_7564,car,route_8,1989.4525706000002
E_7568,truck,route_8,1990.2057965000001
E_7619,bus,route_8,2001.9695531000002
E_7621,bus,route_8,2002.1932478
E_7624,motorcycle,route_6,2002.8762441000001
E_7640,car,route_8,2009.7777366
E_7647,truck,route_8,2012.4786504
E_7664,car,route_8,2018.1098072000002
E_7674,motorcycle,route_8,2019.9900380000001
E_7678,car,route_8,2026.0123959
E_7692,motorcycle,route_7,2026.5385574000002
E_7700,motorcycle,route_7,2028.1183352
E_7716,motorcycle,route_6,2041.0184720000002
E_7769,motorcycle,route_6,2057.7573641
E_7783,motorcycle,route_6,2059.8415745
E_7824,car,route_6,2069.9522449
E_7800,car,route_6,2078.8544525
E_7915,motorcycle,route_6,2105.0862966
E_8107,motorcycle,route_7,2140.3658369
E_8197,motorcycle,route_7,2155.2380941
E_7697,car,route_8,2172.2990752
E_8056,car,route_6,2172.5234113
E_8282,truck,route_8,2178.9934021
E_8291,car,route_6,2180.7475229
E_8323,car,route_8,2182.9444120000003
E_8326,car,route_8,2183.2352507
E_8331,motorcycle,route_7,2183.8288451000003
E_8281,car,route_6,2186.1675771
E_8362,bus,route_8,2197.8571228
E_8363,bus,route_8,2198.1468800000002
E_8369,truck,route_6,2205.0923946000003
E_8376,motorcycle,route_7,2218.8446279
E_8409,car,route_6,2238.9456442
E_8392,bus,route_6,2242.5318874
E_8432,bus,route_6,2258.3293553000003
E_8558,motorcycle,route_7,2292.8122889
E_8595,car,route_7,2299.8672887000002
E_8626,motorcycle,route_7,2307.4076464
E_8726,car,route_8,2343.7738292
E_8719,truck,route_8,2346.8429414
E_8747,truck,route_8,2351.2350458
E_8757,truck,route_8,2355.8432124
E_8787,bus,route_7,2363.218002
E_8819,truck,route_6,2382.9134440000003
E_8860,car,route_7,2388.1804676
E_8853,car,route_8,2390.5886236
E_8897,bus,route_7,2410.707138
E_9019,car,route_8,2464.5148952
E_9069,motorcycle,route_6,2467.4300246000003
E_9071,motorcycle,route_6,2467.6689116000002
E_9064,motorcycle,route_6,2467.8375095
E_9074,car,route_8,2468.0789517000003
E_9121,car,route_6,2472.9944717000003
E_9123,car,route_6,2473.2365728
E_9124,motorcycle,route_8,2473.4806264
E_9129,car,route_6,2474.2765079
E_9013,car,route_6,2540.5302302
E_9454,car,route_6,2542.4458888
E_9255,truck,route_8,2543.5514510000003
E_9481,truck,route_8,2544.6671983
E_9483,bus,route_8,2544.8859477
E_9504,truck,route_8,2550.021882
E_9524,truck,route_8,2554.5205895
E_9570,motorcycle,route_8,2577.8717628
