Name,Class,Direction,Time

N_0,bus,route_10,3.1440279

N_49,truck,route_10,10.4722657

N_185,bus,route_10,23.3684669

N_254,car,route_11,31.690532100000002

N_621,motorcycle,route_11,70.7208893

N_464,car,route_10,74.12627979999999

N_828,car,route_10,77.3592714

N_884,car,route_10,78.3838557

N_933,car,route_9,79.5629223

N_1009,motorcycle,route_9,81.3767745

N_761,car,route_10,82.0047931

N_1103,car,route_10,83.42380109999999

N_1039,car,route_11,83.5018637

N_1093,car,route_9,83.6576532

N_1115,car,route_9,83.8928437

N_1189,car,route_11,86.0205412

N_296,car,route_9,86.7282819

N_782,car,route_10,86.728297

N_1210,motorcycle,route_9,86.7283391

N_1251,motorcycle,route_11,87.8273339

N_1254,car,route_10,87.8273537

N_1261,car,route_10,88.1401356

N_1267,motorcycle,route_11,88.3774942

N_1154,car,route_10,88.4550509

N_1272,motorcycle,route_9,88.5333971

N_1375,car,route_10,91.77684289999999

N_1377,car,route_9,92.0111565

N_1382,car,route_10,92.0111984

N_1394,car,route_9,92.3292506

N_1401,car,route_11,92.64497899999999

N_1186,car,route_10,92.723184

N_1409,car,route_11,92.805286

N_1213,car,route_9,95.5072322

N_1308,car,route_10,95.982272

N_1182,bus,route_10,96.3760715

N_1534,car,route_9,98.35576619999999

N_1568,truck,route_10,99.8532141

N_1551,truck,route_10,100.0087308

N_1595,truck,route_10,100.9570012

N_1561,bus,route_10,104.0422465

N_1670,motorcycle,route_9,104.04227329999999

N_1748,motorcycle,route_9,106.246555

N_1765,motorcycle,route_9,106.63952429999999

N_1687,car,route_10,107.10672989999999

N_1837,motorcycle,route_9,109.223139

N_1841,car,route_10,109.3802378

N_1869,motorcycle,route_9,110.4035576

N_1895,motorcycle,route_11,110.8794197

N_1908,motorcycle,route_9,111.1109453

N_1906,motorcycle,route_9,111.2674797

N_1932,motorcycle,route_11,111.663111

N_1937,motorcycle,route_9,111.74196049999999

N_1737,car,route_10,111.9017668

N_1773,car,route_10,111.9756234

N_1994,motorcycle,route_9,113.47208619999999

N_2005,motorcycle,route_9,113.706549

N_2033,car,route_10,114.4916443

N_1808,car,route_9,114.9593903

N_2049,car,route_10,114.9594422

N_2054,car,route_10,115.1156403

N_2090,motorcycle,route_10,116.4551231

N_1800,car,route_10,118.4232279

N_2148,motorcycle,route_9,118.578441

N_2177,motorcycle,route_9,120.6517454

N_1977,car,route_10,120.94431039999999

N_2182,motorcycle,route_10,120.9443193

N_2180,motorcycle,route_9,120.9443424

N_2203,motorcycle,route_9,122.0293734

N_2227,motorcycle,route_10,123.19237199999999

N_2232,motorcycle,route_9,123.1923915

N_2258,motorcycle,route_9,124.215565

N_2267,motorcycle,route_9,126.9743346

N_2337,motorcycle,route_9,128.199859

N_2150,truck,route_10,128.34294340000002

N_2359,motorcycle,route_9,129.35020870000002

N_2401,motorcycle,route_11,131.86499260000002

N_2402,motorcycle,route_10,131.93685760000002

N_2404,motorcycle,route_9,132.15688980000002

N_2409,motorcycle,route_11,132.22848190000002

N_2378,motorcycle,route_9,132.29949760000002

N_2424,motorcycle,route_9,133.52888130000002

N_2432,motorcycle,route_9,134.17741550000002

N_2428,truck,route_10,136.4220209

N_2486,motorcycle,route_10,136.56579570000002

N_2496,motorcycle,route_9,137.2838783

N_2509,motorcycle,route_10,137.86313990000002

N_2518,motorcycle,route_9,138.57532160000002

N_2514,motorcycle,route_10,138.6467828

N_2526,motorcycle,route_9,140.6074676

N_2549,motorcycle,route_9,142.7704808

N_2482,car,route_10,142.8459391

N_2560,motorcycle,route_9,143.85411960000002

N_2614,motorcycle,route_9,147.5195157

N_2656,motorcycle,route_10,150.97776180000002

N_2664,motorcycle,route_10,152.8517089

N_2671,motorcycle,route_9,154.65275400000002

N_2696,motorcycle,route_9,155.5876445

N_2719,motorcycle,route_9,158.6079994

N_2730,motorcycle,route_9,158.75071820000002

N_2742,motorcycle,route_9,161.6988839

N_2732,motorcycle,route_10,162.3453531

N_2772,motorcycle,route_9,162.85205090000002

N_2785,motorcycle,route_9,163.57448820000002

N_2805,motorcycle,route_9,164.65435960000002

N_2809,motorcycle,route_9,164.8686539

N_2800,motorcycle,route_10,165.23061170000003

N_2807,motorcycle,route_9,165.7422113

N_2825,motorcycle,route_10,166.1742541

N_2803,motorcycle,route_10,166.82695950000002

N_2852,motorcycle,route_10,171.8730309

N_2926,motorcycle,route_9,177.1389063

N_2963,motorcycle,route_11,177.2107798

N_2954,motorcycle,route_10,177.2822557

N_2968,motorcycle,route_10,177.78495360000002

N_2970,motorcycle,route_9,178.7922727

N_2983,motorcycle,route_9,179.2226324

N_2940,car,route_10,180.4495612

N_3011,motorcycle,route_9,181.31904210000002

N_3015,motorcycle,route_9,181.3190738

N_3021,motorcycle,route_9,181.5356682

N_3023,motorcycle,route_11,181.82425800000001

N_3026,motorcycle,route_10,182.1859513

N_3062,car,route_10,183.71100850000002

N_3077,motorcycle,route_9,184.51234440000002

N_2974,car,route_10,187.12608600000002

N_3113,motorcycle,route_10,187.27870000000001

N_3127,car,route_10,188.36155490000002

N_3168,motorcycle,route_9,191.0644762

N_3232,car,route_10,192.36767460000002

N_3234,car,route_10,192.5119425

N_3238,car,route_10,192.72894290000002

N_3245,car,route_10,193.2401546

N_3248,motorcycle,route_9,193.5295954

N_3020,car,route_10,196.2160502

N_3345,motorcycle,route_10,198.61996000000002

N_3351,motorcycle,route_10,199.1257344

N_3340,motorcycle,route_9,199.63782300000003

N_3404,motorcycle,route_10,202.5510135

N_3396,car,route_9,202.6230434

N_3416,motorcycle,route_10,202.8421806

N_3424,motorcycle,route_9,203.27505050000002

N_3430,motorcycle,route_9,203.7082114

N_3434,motorcycle,route_9,203.8583965

N_3447,car,route_10,204.79910600000002

N_3459,car,route_10,205.0887611

N_3274,car,route_10,206.2512409

N_3488,motorcycle,route_9,206.4008374

N_3486,motorcycle,route_9,206.4008464

N_3484,car,route_10,206.4008623

N_3498,motorcycle,route_9,206.9812315

N_3504,motorcycle,route_9,207.413035

N_3495,car,route_10,207.41304820000002

N_3511,motorcycle,route_9,207.5621288

N_3514,car,route_10,209.6669669

N_3547,car,route_10,209.7387299

N_3548,car,route_10,209.7387453

N_3552,car,route_10,210.0988957

N_3569,car,route_10,211.0408782

N_3583,car,route_10,211.6218622

N_3584,car,route_10,211.7661912

N_3585,car,route_10,212.0551211

N_3589,car,route_10,212.1994177

N_3591,car,route_10,212.41996490000002

N_3595,car,route_10,212.56502220000002

N_3610,car,route_10,213.2938262

N_3615,car,route_10,213.5098934

N_3617,car,route_10,213.6539471

N_3641,car,route_10,215.10869530000002

N_3645,car,route_10,215.2524937

N_3664,motorcycle,route_9,217.86526590000003

N_3671,car,route_10,218.30080310000002

N_3646,car,route_10,218.5195874

N_3675,car,route_10,218.80900390000002

N_3676,motorcycle,route_9,219.2418163

N_3695,motorcycle,route_9,219.6036577

N_3699,car,route_10,219.89424970000002

N_3701,car,route_10,220.03846000000001

N_3707,car,route_10,220.4705035

N_3709,car,route_10,220.68604820000002

N_3713,car,route_10,221.05482360000002

N_3740,car,route_10,222.9405816

N_3721,motorcycle,route_9,223.23298350000002

N_3750,car,route_10,223.44832490000002

N_3766,car,route_10,224.24959950000002

N_3769,car,route_10,224.39442430000003

N_3772,car,route_10,224.54119540000002

N_3791,car,route_10,225.34003620000001

N_3795,motorcycle,route_9,225.5578941

N_3796,car,route_10,225.9959023

N_3857,motorcycle,route_9,230.710887

N_3846,car,route_10,230.9287846

N_3827,car,route_10,231.0041454

N_3866,car,route_10,231.2925102

N_3869,car,route_10,231.7297484

N_3860,motorcycle,route_9,232.3818153

N_3880,motorcycle,route_9,232.67432000000002

N_3909,motorcycle,route_9,235.5069439

N_3922,car,route_10,236.15939540000002

N_3925,car,route_10,236.37688300000002

N_3928,car,route_10,236.59268200000002

N_3931,car,route_10,236.7365684

N_3934,car,route_10,236.87950640000003

N_3879,car,route_10,237.02439370000002

N_3948,car,route_10,238.10855310000002

N_3959,car,route_10,238.9035953

N_3968,car,route_10,239.7719839

N_3971,car,route_10,239.917683

N_3987,car,route_10,240.93148440000002

N_3992,car,route_10,241.5079645

N_4000,car,route_10,242.7375796

N_4003,car,route_10,242.8809396

N_4004,car,route_10,243.0963034

N_4011,car,route_10,243.457897

N_4030,car,route_10,244.98710260000001

N_4027,motorcycle,route_9,245.7900413

N_4055,motorcycle,route_9,246.00787530000002

N_4087,motorcycle,route_9,248.04441770000003

N_4086,motorcycle,route_9,248.1893096

N_4091,motorcycle,route_9,248.91660960000002

N_4103,motorcycle,route_9,249.0611308

N_4110,motorcycle,route_9,249.49952290000002

N_4112,motorcycle,route_9,249.64702350000002

N_4172,motorcycle,route_9,256.8299002

N_4090,car,route_9,259.8906756

N_3917,car,route_10,263.69217799999996

N_4213,car,route_10,263.7661905

N_4216,car,route_10,265.1048565

N_4250,car,route_10,269.64807959999996

N_4271,car,route_9,272.11920119999996

N_4430,car,route_9,295.23158709999996

N_4520,car,route_9,306.0999951

N_4778,car,route_9,340.2087328

N_4783,car,route_9,341.04744339999996

N_4925,car,route_9,361.3476958

N_4957,car,route_11,361.3477173

N_5067,car,route_9,369.4007921

N_5156,car,route_9,372.125897

N_5176,car,route_11,372.4446165

N_4280,car,route_10,375.5721352

N_5121,car,route_10,377.13203699999997

N_5213,car,route_9,377.2047422

N_5345,car,route_10,377.86233649999997

N_5379,car,route_9,378.8092679

N_5375,car,route_10,380.47930629999996

N_5532,motorcycle,route_9,384.3054295

N_5144,car,route_9,384.81150429999997

N_5502,car,route_10,385.9884705

N_5674,motorcycle,route_9,389.3418368

N_5416,car,route_9,390.7926275

N_5533,car,route_10,390.8654324

N_5725,car,route_10,391.0846232

N_5775,car,route_10,392.4034585

N_5782,car,route_10,392.6910042

N_5688,car,route_10,392.9805748

N_5838,car,route_10,394.5865609

N_5876,motorcycle,route_9,396.25522279999996

N_5869,car,route_10,396.6196629

N_5727,car,route_9,397.209337

N_5910,motorcycle,route_9,397.3559572

N_5856,car,route_9,399.3944189

N_5761,truck,route_10,399.8333943

N_6009,car,route_10,400.7070728

N_6020,truck,route_9,403.4641064

N_6088,car,route_9,403.97338049999996

N_6093,car,route_9,404.1178352

N_5859,car,route_10,404.6280643

N_6102,car,route_9,404.7757178

N_6147,motorcycle,route_9,405.86431999999996

N_6277,motorcycle,route_9,409.13506129999996

N_6348,motorcycle,route_10,410.59071819999997

N_6343,motorcycle,route_9,411.02867799999996

N_5998,car,route_10,411.24888469999996

N_6377,motorcycle,route_11,411.32165649999996

N_6409,car,route_10,412.4904573

N_6417,motorcycle,route_11,412.8520678

N_6402,motorcycle,route_9,413.0727288

