N_Name,Class,Direction,Time
N_10,motorcycle,route_9,3.8918003
N_81,motorcycle,route_11,6.9759474
N_82,car,route_11,13.663824000000002
N_73,car,route_9,14.742776800000001
N_199,car,route_11,19.1319726
N_391,car,route_9,26.010286100000002
N_404,truck,route_10,28.707636400000002
N_378,car,route_9,31.253142
N_715,truck,route_10,46.8533677
N_728,truck,route_10,47.315596299999996
N_738,truck,route_10,47.8505033
N_745,truck,route_10,48.2339116
N_770,car,route_10,49.618753399999996
N_752,car,route_11,50.390665999999996
N_826,car,route_10,53.1639713
N_828,car,route_10,53.3170261
N_839,car,route_10,53.7748188
N_846,car,route_9,54.0054324
N_849,car,route_10,54.0841158
N_884,car,route_9,56.252849399999995
N_890,car,route_9,56.4861733
N_7,truck,route_10,58.9673114
N_1026,car,route_10,65.8133778
N_1032,car,route_10,65.9742578
N_1036,car,route_9,65.9742806
N_1042,car,route_10,66.37422339999999
N_1055,car,route_10,66.8578321
N_1058,car,route_9,66.8578594
N_1064,car,route_10,67.337859
N_1121,car,route_9,69.9401937
N_1170,car,route_9,72.1353907
N_1181,car,route_9,72.7017323
N_1198,car,route_9,73.47666889999999
N_1206,car,route_10,74.1473768
N_1213,car,route_9,74.2948706
N_1221,car,route_9,75.2671738
N_1224,car,route_9,75.4922476
N_1226,car,route_9,75.71498129999999
N_1228,car,route_9,76.1631192
N_1233,car,route_9,76.4612868
N_1302,car,route_10,81.6078078
N_1315,car,route_10,83.5691228
N_1317,car,route_10,84.0609324
N_1322,car,route_10,84.4648436
N_1326,car,route_10,84.6238467
N_1330,car,route_10,84.85918149999999
N_1337,car,route_10,85.4859811
N_1340,car,route_9,85.5638275
N_1342,car,route_10,85.7992936
N_1354,car,route_10,87.0618613
N_1415,car,route_10,91.5479278
N_1432,car,route_9,91.95220979999999
N_1439,car,route_10,92.8430399
N_1442,car,route_10,93.0049722
N_1467,car,route_9,94.8902829
N_1475,car,route_9,95.45605429999999
N_1482,car,route_9,95.770439
N_1546,car,route_10,101.6665913
N_1552,car,route_10,101.9236387
N_1563,car,route_9,102.9587652
N_1568,car,route_9,103.7580823
N_1569,car,route_10,103.7581173
N_1574,car,route_9,104.7857515
N_1576,car,route_9,105.01666159999999
N_1578,car,route_9,105.2591178
N_1582,car,route_9,105.74042
N_1595,car,route_9,106.2963937
N_1606,car,route_9,107.57420429999999
N_1614,car,route_9,108.29193099999999
N_1622,car,route_10,109.7854506
N_1633,car,route_9,110.3076825
N_1635,car,route_9,110.460284
N_1638,car,route_9,110.608533
N_1652,car,route_9,111.42787109999999
N_1657,car,route_10,111.80410909999999
N_1661,car,route_10,112.2537428
N_1671,car,route_10,113.06712449999999
N_1693,car,route_9,114.9286571
N_1695,car,route_9,115.07729359999999
N_1700,car,route_9,115.37613999999999
N_1704,car,route_9,115.82608689999999
N_1707,car,route_9,116.1242773
N_1711,car,route_9,116.3478909
N_1714,car,route_9,116.79902489999999
N_1719,car,route_9,117.0218491
N_1729,car,route_11,117.8462993
N_1772,car,route_10,122.0676423
N_1775,car,route_10,122.2927599
N_1778,car,route_10,122.52197989999999
N_1795,car,route_10,124.16363949999999
N_1844,car,route_9,127.8176628
N_1848,car,route_9,128.0413051
N_1860,car,route_9,128.5629102
N_1959,car,route_9,135.7901097
N_1964,car,route_9,135.9379568
N_1974,car,route_9,136.39260769999999
N_2002,car,route_9,138.99549009999998
N_2005,car,route_10,139.0694184
N_2012,car,route_9,139.3681726
N_2024,car,route_9,140.0384855
