N_Name,Class,Direction,Time
N_33,motorcycle,route_9,10.8777011
N_55,motorcycle,route_9,14.769943199999998
N_69,motorcycle,route_9,15.298006200000001
N_105,car,route_9,18.838552399999998
N_102,car,route_9,18.9887163
N_118,bus,route_9,20.3513467
N_131,bus,route_11,20.5757999
N_133,bus,route_9,20.6502526
N_136,bus,route_11,20.950170300000003
N_225,car,route_9,32.1998478
N_242,motorcycle,route_10,33.5630546
N_241,bus,route_10,38.9397673
N_272,motorcycle,route_9,39.8506218
N_276,bus,route_10,40.002387500000005
N_278,motorcycle,route_9,40.0767161
N_313,bus,route_10,43.3350852
N_315,car,route_9,43.4104405
N_316,bus,route_10,43.4853398
N_393,motorcycle,route_10,53.3021162
N_401,car,route_10,60.694621500000004
N_451,car,route_10,62.80129650000001
N_533,motorcycle,route_9,67.56818990000001
N_561,motorcycle,route_9,70.16269150000001
N_594,car,route_10,72.77667410000001
N_611,car,route_10,74.4282133
N_651,car,route_9,81.6244118
N_678,motorcycle,route_9,81.7019639
N_682,motorcycle,route_9,81.9377948
N_687,motorcycle,route_9,82.4093554
N_824,motorcycle,route_9,91.6805082
N_853,motorcycle,route_11,95.6072478
N_899,car,route_9,100.3460157
N_910,car,route_9,101.2620081
N_918,car,route_10,101.799837
N_923,car,route_10,102.2591163
N_929,car,route_10,102.5670588
N_957,car,route_10,105.73761520000001
N_960,car,route_10,106.2757397
N_965,car,route_10,106.5892291
N_991,car,route_10,109.35161120000001
N_992,motorcycle,route_9,109.5020975
N_1028,motorcycle,route_9,113.3761696
N_1030,motorcycle,route_9,113.6152965
N_1033,motorcycle,route_9,114.1741239
N_1034,car,route_10,114.1741332
N_1129,car,route_10,123.7234113
N_1254,car,route_9,130.84993039999998
N_1272,motorcycle,route_9,131.87221689999998
N_1310,motorcycle,route_9,134.19913129999998
N_1245,car,route_9,135.29125439999999
N_1398,bus,route_10,142.426033
N_1434,car,route_10,143.22472219999997
N_1479,motorcycle,route_9,148.6823526
N_1480,motorcycle,route_9,148.682366
N_1483,motorcycle,route_9,148.8269565
N_1484,motorcycle,route_9,148.8269651
N_1485,motorcycle,route_9,148.9711475
N_1513,car,route_10,151.3622096
N_1548,car,route_9,158.60497959999998
N_1583,car,route_9,161.4367045
N_1586,truck,route_11,162.46510049999998
N_1592,truck,route_11,162.75938839999998
N_1632,car,route_9,167.01119939999998
N_1644,car,route_10,168.0234846
N_1647,car,route_10,168.1677729
N_1668,motorcycle,route_9,171.59227339999998
N_1682,car,route_9,176.08749939999998
N_1699,car,route_10,178.50673289999997
N_1730,car,route_9,183.37455609999998
N_1739,car,route_10,184.9020746
N_1761,motorcycle,route_9,191.00072849999998
N_1769,motorcycle,route_10,195.1520239
N_1772,car,route_10,195.3700979
N_1773,car,route_10,195.7394043
N_1774,car,route_10,195.95929969999997
N_1785,car,route_10,197.71008899999998
N_1786,car,route_9,197.71010859999998
N_1787,car,route_10,198.9490525
N_1818,car,route_9,202.8193849
N_1883,car,route_9,209.8804571
N_1891,motorcycle,route_10,210.9024571
N_1899,car,route_9,212.65535989999998
N_1942,car,route_10,216.15669459999998
N_1992,car,route_9,221.48209609999998
N_2044,car,route_10,230.66742699999998
N_2154,car,route_9,248.8656297
N_2175,car,route_9,249.5234265
N_2167,car,route_9,254.3502682
N_2265,car,route_9,260.9935241
N_2267,car,route_9,261.1388489
N_2276,car,route_9,262.0906792
N_2278,car,route_9,262.2386515
N_2234,car,route_10,263.3314495
N_2252,bus,route_10,268.2972752
N_2312,bus,route_10,268.8837309
N_2418,car,route_10,278.75762940000004
N_2423,car,route_10,279.1284121
N_2431,car,route_10,279.70772400000004
N_2435,car,route_10,280.368408
N_2446,car,route_10,285.0169179
N_2487,car,route_10,285.4565136
N_2499,car,route_10,286.5444623
N_2508,car,route_10,287.1233684
N_2513,car,route_10,287.2675501
N_2524,car,route_10,288.2074645
N_2564,motorcycle,route_10,305.2849638
N_2613,motorcycle,route_9,312.6411049
N_2609,car,route_10,312.9293113
N_2620,motorcycle,route_9,313.072853
N_2621,car,route_10,313.28820820000004
N_2628,car,route_10,313.652594
N_2629,car,route_10,313.65260240000003
N_2641,car,route_10,314.30537710000004
N_2644,car,route_9,314.5985506
N_2632,truck,route_10,314.67046120000003
N_2654,car,route_10,315.4026907
N_2669,car,route_10,316.5658169
N_2673,car,route_10,316.93258130000004
N_2678,car,route_10,317.1496138
N_2744,car,route_9,324.33096570000004
N_2753,car,route_10,324.6218941
N_2759,car,route_9,326.5828576
N_2774,car,route_10,326.7272893
N_2883,car,route_9,339.82003530000003
N_3091,motorcycle,route_11,365.7388856
N_3080,car,route_9,366.3212941
N_3119,car,route_10,367.9319751
N_3133,car,route_10,368.9558127
N_3164,car,route_10,371.9513055
N_3180,bus,route_10,373.9891429
N_3196,motorcycle,route_11,374.8646461
N_3199,motorcycle,route_11,375.0102202
N_3202,motorcycle,route_11,375.1555528
N_3205,motorcycle,route_11,375.3003833
N_3206,car,route_10,375.37950950000004
N_3213,car,route_10,375.7422418
N_3220,car,route_10,376.32541380000004
N_3194,car,route_10,380.04186730000004
N_3247,motorcycle,route_11,380.2579993
N_3230,car,route_9,382.6709106
N_3299,car,route_10,385.4505866
N_3335,car,route_10,388.3007179
N_3337,car,route_11,388.3007389
N_3342,car,route_10,388.5230494
N_3359,car,route_10,389.6212555
N_3374,car,route_10,391.3697386
N_3380,car,route_10,391.80765640000004
N_3406,car,route_10,394.50821080000003
N_3407,car,route_9,396.9233039
N_3463,car,route_9,399.337463
N_3480,car,route_9,399.9238174
N_3489,car,route_9,400.4351016
N_3559,car,route_10,407.1549485
N_3595,motorcycle,route_11,410.3696666
N_3597,motorcycle,route_11,410.8039781
N_3612,car,route_10,412.1179356
N_3646,car,route_9,414.8949643
N_3715,car,route_9,417.81905240000003
N_3809,car,route_9,422.0481727
N_3920,car,route_10,429.1279506
N_3910,car,route_10,429.4196013
N_3949,car,route_10,430.87780480000004
N_3952,car,route_10,431.0271784
N_3989,car,route_10,432.7797123
N_3998,car,route_10,433.4335838
N_4030,motorcycle,route_9,434.9699595
N_4073,car,route_10,437.37775700000003
N_4077,car,route_10,437.5962084
N_4078,car,route_10,437.6681727
N_4070,car,route_10,437.9633445
N_4155,motorcycle,route_9,444.30220940000004
N_4205,car,route_10,468.4393415
N_4221,car,route_9,468.439358
N_4232,car,route_10,469.9615149
N_4234,car,route_10,470.1083881
N_4235,car,route_10,470.3967923
N_4237,car,route_10,470.7590602
N_4215,car,route_9,471.1956247
