Name,Class,Direction,Time
S_1,motorcycle,route_5,4.1094671
W_32,motorcycle,route_0,4.2984872
W_39,motorcycle,route_0,4.5382175
W_44,motorcycle,route_0,5.258356299999999
E_3,car,route_8,5.8292981
E_1,car,route_6,6.4595122
E_95,car,route_6,6.699387499999999
W_61,car,route_0,6.730836699999999
E_104,car,route_8,7.0161237000000005
S_49,motorcycle,route_3,7.0944257
E_115,car,route_8,7.167914800000001
W_67,car,route_0,7.315346
S_55,motorcycle,route_3,7.4892448
E_100,car,route_7,8.4558237
S_62,motorcycle,route_5,8.7439619
E_177,motorcycle,route_8,9.3418366
S_3,car,route_4,9.5300342
E_187,car,route_8,9.9843893
E_166,truck,route_6,10.2248548
E_223,motorcycle,route_6,12.0602513
S_88,motorcycle,route_3,12.3799284
E_188,car,route_8,12.944066300000005
E_249,motorcycle,route_6,13.1799247
E_269,motorcycle,route_8,13.7476239
E_278,car,route_8,13.9883171
W_157,motorcycle,route_0,14.6738062
E_315,car,route_8,15.0988647
E_244,car,route_6,15.2596145
E_235,car,route_7,15.5768433
E_308,car,route_8,17.175679000000002
W_194,motorcycle,route_0,18.0364462
E_397,truck,route_8,18.216501
W_203,motorcycle,route_1,18.5052692
E_341,car,route_6,18.7039657
E_403,motorcycle,route_6,18.8668807
S_133,motorcycle,route_3,19.1765791
W_187,car,route_0,19.7786586
E_387,car,route_6,21.8411955
E_481,car,route_6,22.8751379
E_438,car,route_6,24.388835800000003
E_503,truck,route_8,24.4734424
W_275,car,route_2,24.7393518
E_512,bus,route_8,24.8801746
W_278,car,route_2,24.8933302
E_521,bus,route_8,25.3541285
S_182,motorcycle,route_5,25.415856400000003
W_287,car,route_2,25.4265203
S_189,motorcycle,route_3,26.3744797
W_310,car,route_2,26.6603571
S_199,motorcycle,route_3,26.939245
W_316,car,route_2,26.9675945
S_202,motorcycle,route_3,27.2531489
S_208,motorcycle,route_4,28.6928885
E_556,car,route_6,29.425509
E_599,car,route_6,30.460391800000004
E_590,car,route_7,32.2199055
E_583,car,route_6,32.615642900000005
E_634,car,route_7,32.615662
E_646,car,route_7,33.3360446
E_648,car,route_6,33.416837300000005
E_593,truck,route_8,33.8170331
E_659,car,route_6,34.287077700000005
E_681,car,route_6,35.5386173
E_644,truck,route_6,37.1010545
S_320,motorcycle,route_5,37.5594516
S_340,motorcycle,route_5,37.7994983
E_718,car,route_8,38.3674325
E_757,car,route_6,39.2548586
E_731,car,route_6,40.1523405
E_782,car,route_8,40.3757897
E_785,motorcycle,route_7,40.4506141
S_362,motorcycle,route_5,41.2953468
E_827,car,route_6,41.8510594
W_372,car,route_2,42.1544722
E_784,car,route_8,42.2135355
E_849,car,route_6,42.8686842
S_383,motorcycle,route_3,43.049676
W_504,car,route_0,43.0681265
E_834,car,route_7,43.1634832
E_858,car,route_6,43.3108676
E_865,car,route_6,43.9812997
E_880,car,route_8,44.786935
E_904,car,route_6,46.1067591
E_905,car,route_8,46.8365346
S_421,motorcycle,route_4,47.7295256
E_960,car,route_8,48.0849802
E_972,car,route_8,48.5340093
E_989,car,route_8,49.2087065
E_979,car,route_6,49.2828301
E_966,car,route_7,49.4321898
E_1004,car,route_6,49.8073281
E_955,car,route_8,51.5373015
E_1051,motorcycle,route_8,51.8332396
N_273,car,route_10,52.6240778
E_1001,car,route_6,52.7920789
E_1072,car,route_8,52.9367975
E_1074,car,route_6,52.9368127
E_1078,car,route_8,53.1545389
N_276,car,route_10,53.283151100000005
E_1082,car,route_8,53.3719344
E_1085,car,route_8,53.5215292
E_1099,truck,route_6,54.1122713
N_282,car,route_10,54.5978192
S_482,motorcycle,route_5,54.8148022
E_1050,car,route_6,55.5761428
N_293,car,route_10,56.097626600000005
W_657,car,route_1,56.3412493
E_1066,car,route_8,56.3764231
E_1146,car,route_7,57.0412967
E_1188,motorcycle,route_6,57.1868599
E_1189,car,route_6,57.1868675
W_736,car,route_1,57.9437559
E_1224,motorcycle,route_7,58.2097409
E_1229,car,route_6,58.354829
E_1238,car,route_7,58.5737566
W_750,truck,route_2,58.861058
S_508,motorcycle,route_5,58.8807404
W_752,car,route_1,58.9394652
E_1163,car,route_8,59.157921
W_756,truck,route_2,59.3217861
W_757,truck,route_2,59.4808149
W_761,truck,route_2,59.860754
S_541,motorcycle,route_3,60.7845938
S_561,motorcycle,route_3,61.568102
W_796,car,route_1,61.700747
E_1217,car,route_6,62.3981971
E_1256,car,route_8,62.8430187
W_821,car,route_0,63.38864469999999
S_590,motorcycle,route_3,64.2845363
W_843,car,route_1,64.6183561
S_604,car,route_5,64.9170004
S_614,car,route_5,65.6281199
W_859,car,route_1,65.8538968
W_862,car,route_1,66.0853785
E_1326,car,route_7,66.13697149999999
E_1331,car,route_6,66.13698989999999
E_1328,car,route_8,66.43129669999999
S_622,car,route_5,66.7464212
E_1381,car,route_8,68.1182394
W_892,car,route_1,68.53355110000001
E_1387,car,route_8,68.5599896
S_610,car,route_4,69.20066340000001
E_1391,car,route_8,69.9529524
W_939,car,route_1,70.6063683
W_944,car,route_1,70.7591024
E_1384,car,route_6,70.92401919999999
W_951,car,route_1,71.0672851
E_1359,car,route_6,71.5250212
E_1408,car,route_8,71.8233635
E_1411,car,route_7,71.82340219999999
S_667,motorcycle,route_3,72.6136482
S_700,motorcycle,route_5,73.8866775
N_382,car,route_10,74.45179279999999
N_386,car,route_10,74.7566983
N_393,car,route_10,74.9167246
N_395,car,route_10,75.06671779999999
S_716,motorcycle,route_3,75.0731258
S_682,motorcycle,route_3,75.2361334
E_1418,car,route_7,75.73181349999999
W_1038,car,route_1,75.7732447
W_1050,car,route_1,76.07880370000001
S_681,car,route_5,76.3437584
W_1064,car,route_0,76.46197620000001
S_737,motorcycle,route_5,76.50348430000001
W_1079,car,route_1,76.77478330000001
W_1086,car,route_1,76.9286261
W_1087,car,route_2,77.0073369
E_1441,motorcycle,route_6,77.8716949
S_750,motorcycle,route_5,77.95417570000001
S_757,motorcycle,route_4,78.1900177
E_1422,car,route_6,78.23838479999999
W_1123,car,route_1,78.3860867
W_1139,truck,route_2,78.99662280000001
W_1149,truck,route_2,79.3101718
W_1166,truck,route_2,79.77111570000001
W_1176,truck,route_2,80.07939280000001
W_1203,car,route_1,80.9221023
W_1206,car,route_1,81.07630970000001
N_426,car,route_9,82.24784229999999
S_831,motorcycle,route_3,82.9344787
S_721,motorcycle,route_5,83.00731660000001
S_841,motorcycle,route_3,83.15322830000001
E_1502,car,route_7,83.5969629
S_853,motorcycle,route_3,83.6635213
S_844,motorcycle,route_3,83.80797580000001
S_859,motorcycle,route_3,84.02476300000001
S_903,motorcycle,route_5,86.6499849
S_944,motorcycle,route_3,89.27356300000001
S_972,motorcycle,route_3,90.3652429
S_968,motorcycle,route_4,90.5955198
S_959,motorcycle,route_3,91.0406607
W_1352,car,route_1,91.3021822
S_990,motorcycle,route_3,91.3452512
W_1364,motorcycle,route_2,92.6934186
S_1025,motorcycle,route_5,93.0449167
S_1017,motorcycle,route_5,93.1169307
W_1373,motorcycle,route_2,93.3844371
W_1375,motorcycle,route_2,93.9193169
S_1036,motorcycle,route_5,93.9247588
N_597,car,route_9,94.9956365
E_1614,car,route_8,95.0899087
N_616,car,route_10,95.8434549
N_623,car,route_10,96.2188841
W_1281,car,route_2,96.9942771
E_1644,car,route_8,97.5789787
S_1000,car,route_5,99.3982535
S_1150,motorcycle,route_4,101.3973711
W_1461,car,route_2,101.4535683
E_1687,car,route_7,101.599731
S_1117,motorcycle,route_3,102.0593826
W_1472,car,route_1,102.069021
N_838,car,route_10,103.3022705
E_1720,motorcycle,route_7,104.233097
N_870,bus,route_9,104.9999255
E_1763,motorcycle,route_6,107.0149975
N_1013,car,route_10,107.8263989
N_1031,car,route_10,108.2032331
N_1060,car,route_10,108.578407
E_1789,motorcycle,route_7,109.4269499
S_1219,truck,route_5,112.1716402
N_1209,car,route_10,114.1519724
N_1218,car,route_9,114.2413821
N_1131,bus,route_9,116.1260423
S_1248,truck,route_5,116.8288173
E_1931,motorcycle,route_7,118.7947416
N_1396,car,route_9,118.8556991
N_1399,car,route_10,119.0360577
N_1443,motorcycle,route_9,120.3623089
N_1430,car,route_10,121.138429
N_1539,motorcycle,route_9,123.3058233
N_1565,car,route_10,124.2495942
E_1975,car,route_7,124.87672279999998
N_1613,motorcycle,route_9,126.694905
N_1635,car,route_9,127.8280295
N_1639,car,route_9,127.9253311
N_1638,motorcycle,route_9,127.9253398
N_1644,car,route_9,128.10875040000002
N_1645,car,route_9,128.2018275
N_1665,car,route_9,129.14489550000002
N_1710,bus,route_9,130.84313310000002
N_1739,bus,route_9,131.9684183
W_1831,car,route_2,132.3742228
N_1640,car,route_10,132.71776060000002
N_1821,motorcycle,route_9,134.06539990000002
N_1824,car,route_9,134.065412
E_2066,car,route_8,134.482161
N_1848,car,route_9,134.5575158
N_1849,car,route_9,134.55752370000002
E_2070,car,route_8,134.8461538
N_1920,motorcycle,route_9,136.397468
N_1918,motorcycle,route_9,136.5509862
N_1954,car,route_9,137.01314580000002
N_1925,motorcycle,route_9,137.8611539
W_1910,motorcycle,route_2,137.9833699
N_2045,car,route_10,138.5513971
N_2057,car,route_9,138.6273994
N_2060,car,route_10,138.7052851
N_2051,motorcycle,route_9,138.78066900000002
N_2073,car,route_10,138.9327732
N_2087,motorcycle,route_9,139.1609804
N_2093,motorcycle,route_9,139.2396165
N_2156,car,route_9,140.4731836
N_2147,car,route_9,140.5506484
N_2210,car,route_9,141.2390206
N_2224,car,route_10,141.319688
W_1946,motorcycle,route_2,141.3544431
E_2145,car,route_8,141.57917899999998
E_2150,car,route_8,141.7975742
W_1962,motorcycle,route_2,141.9669797
E_2167,car,route_8,142.8158772
N_2309,car,route_9,143.01357620000002
N_2302,car,route_10,143.09406900000002
N_2310,car,route_9,143.0940779
N_2318,car,route_9,143.4001529
E_2174,car,route_8,143.40188759999998
N_2330,car,route_10,143.6319432
N_2230,car,route_9,144.4737464
N_2108,car,route_10,146.2452097
N_2427,car,route_10,146.39839980000002
W_1883,car,route_2,146.8076705
E_2221,car,route_8,146.9851792
N_2449,car,route_9,147.2442681
E_2209,car,route_7,147.6425667
E_2238,car,route_8,148.5238111
E_2245,car,route_8,148.8158092
E_2248,car,route_8,149.03792149999998
N_2502,car,route_10,149.0863481
N_2505,car,route_9,149.08640630000002
N_2515,car,route_9,149.396935
N_2367,car,route_9,149.4730179
W_2093,motorcycle,route_2,150.4171081
W_2096,motorcycle,route_2,150.6477294
N_2551,truck,route_10,150.70396820000002
W_2103,motorcycle,route_2,151.0427487
N_2581,truck,route_10,151.2412567
N_2394,car,route_9,151.40089640000002
N_2607,car,route_9,152.1692243
N_2447,car,route_9,153.62682080000002
W_2107,car,route_2,154.44241970000002
E_2359,car,route_8,156.0595769
E_2365,car,route_8,156.2068434
E_2297,car,route_7,156.42572189999998
E_2367,car,route_8,156.57156089999998
N_2775,car,route_10,156.6964814
N_2783,car,route_9,157.6164031
N_2834,car,route_9,158.2301856
N_2856,motorcycle,route_9,158.8400235
N_2867,motorcycle,route_9,159.068868
E_2391,car,route_8,160.1582475
E_2404,car,route_8,161.5446821
N_2994,car,route_9,161.9023117
N_3006,car,route_9,162.1355703
N_3008,car,route_9,162.4427829
N_2614,car,route_10,162.519821
N_3025,car,route_9,162.6765703
N_3037,bus,route_9,163.2154317
E_2412,car,route_8,163.4471284
N_3061,motorcycle,route_9,163.5979148
N_3075,motorcycle,route_11,163.90338250000002
N_3098,motorcycle,route_9,164.4385738
E_2434,car,route_8,165.4975672
E_2441,car,route_8,166.00764239999998
W_2304,car,route_2,166.1356811
N_3186,car,route_9,166.75257100000002
N_3196,car,route_9,166.90569440000002
N_3228,car,route_9,167.6723536
N_3235,car,route_9,167.8243496
N_3239,car,route_9,167.90402260000002
N_3242,car,route_10,168.0551012
N_3253,car,route_9,168.20852050000002
N_3260,car,route_9,168.3638731
N_3053,car,route_9,168.97384870000002
N_3172,car,route_9,170.89635280000002
S_1686,motorcycle,route_4,171.4382806
S_1692,motorcycle,route_4,171.5815512
N_3105,car,route_9,171.8167103
N_3393,car,route_9,172.58949470000002
N_3430,motorcycle,route_9,173.5868524
N_3079,truck,route_10,173.89493760000002
N_3333,car,route_9,173.8949681
E_2500,car,route_8,174.4051914
N_3420,car,route_9,174.66448830000002
S_1726,motorcycle,route_4,174.8520128
N_3445,car,route_9,174.9696165
N_3489,car,route_9,174.9696423
N_3496,car,route_9,175.1219469
N_3512,car,route_11,175.5115418
W_2348,car,route_2,175.8830692
N_3555,car,route_9,176.74781760000002
N_3564,car,route_9,177.0532473
N_3572,car,route_9,177.2057398
N_3579,motorcycle,route_9,177.357584
N_3627,motorcycle,route_9,178.4367963
N_3616,motorcycle,route_9,178.5142276
N_3643,motorcycle,route_9,178.74840220000002
N_3413,car,route_9,180.13136060000002
N_3720,car,route_10,180.6691584
N_3724,car,route_10,180.8210685
N_3727,motorcycle,route_9,180.8973132
N_3732,motorcycle,route_9,181.0494504
N_3751,car,route_9,181.8199087
N_3778,car,route_9,182.4322978
N_3782,motorcycle,route_9,182.513507
N_3803,car,route_9,183.0521378
N_3806,car,route_11,183.128962
N_3540,car,route_9,183.9794839
N_3837,car,route_10,183.9795571
N_3893,motorcycle,route_11,185.2918421
N_3908,car,route_9,185.672229
N_3923,car,route_9,185.9875493
N_3932,car,route_9,186.1446447
N_3950,motorcycle,route_9,186.7617512
N_3804,car,route_10,186.9132812
N_4019,motorcycle,route_9,188.3687229
N_4080,motorcycle,route_9,190.2101488
N_4091,motorcycle,route_9,190.5171535
N_4096,motorcycle,route_9,190.593199
N_4105,motorcycle,route_9,190.6684806
N_4120,motorcycle,route_9,190.9011646
N_4135,car,route_9,191.4449155
N_4161,car,route_10,191.6006782
N_4176,car,route_10,191.8344809
N_4197,car,route_10,192.2996983
N_4196,car,route_9,192.2997308
N_4211,car,route_10,192.6799691
N_4231,motorcycle,route_9,192.9846425
N_4226,car,route_10,193.2916603
N_4286,car,route_9,195.1546528
N_4102,car,route_9,195.617613
N_4329,car,route_10,195.8453656
N_4355,car,route_9,196.3052505
N_4365,car,route_9,196.5364694
N_4394,car,route_9,197.1521646
N_4430,car,route_9,198.0004798
N_4439,car,route_9,198.2308686
N_4400,car,route_9,199.9331434
N_4460,car,route_9,200.7029671
N_4521,motorcycle,route_9,200.7807924
N_4449,car,route_10,201.8639908
E_2730,car,route_7,203.1025569
N_4597,car,route_9,203.2547449
N_4606,car,route_9,203.562537
N_4614,car,route_11,203.8679861
N_4652,motorcycle,route_9,205.4168378
N_4660,motorcycle,route_9,205.6442783
N_4673,motorcycle,route_9,206.5640375
N_4431,car,route_9,207.4106268
N_4730,motorcycle,route_9,208.8771184
N_4616,car,route_10,209.1074894
N_4670,car,route_9,209.1833392
N_4740,motorcycle,route_11,209.2597697
N_4741,motorcycle,route_9,209.4137616
N_4762,motorcycle,route_9,210.1025564
N_4774,car,route_9,210.4127423
N_4777,car,route_9,210.5703482
N_4770,motorcycle,route_10,210.7246836
