N_Name,Class,Direction,Time
N_273,car,route_10,52.6240778
N_276,car,route_10,53.283151100000005
N_282,car,route_10,54.5978192
N_293,car,route_10,56.097626600000005
N_382,car,route_10,74.45179279999999
N_386,car,route_10,74.7566983
N_393,car,route_10,74.9167246
N_395,car,route_10,75.06671779999999
N_426,car,route_9,82.24784229999999
N_597,car,route_9,94.99563649999999
N_616,car,route_10,95.8434549
N_623,car,route_10,96.2188841
N_838,car,route_10,103.30227049999999
N_870,bus,route_9,104.99992549999999
N_1013,car,route_10,107.8263989
N_1031,car,route_10,108.20323309999999
N_1060,car,route_10,108.578407
N_1209,car,route_10,114.15197239999999
N_1218,car,route_9,114.2413821
N_1131,bus,route_9,116.1260423
N_1396,car,route_9,118.8556991
N_1399,car,route_10,119.0360577
N_1443,motorcycle,route_9,120.36230889999999
N_1430,car,route_10,121.13842899999999
N_1539,motorcycle,route_9,123.3058233
N_1565,car,route_10,124.2495942
N_1613,motorcycle,route_9,126.69490499999999
N_1635,car,route_9,127.8280295
N_1639,car,route_9,127.92533110000001
N_1638,motorcycle,route_9,127.9253398
N_1644,car,route_9,128.10875040000002
N_1645,car,route_9,128.2018275
N_1665,car,route_9,129.14489550000002
N_1710,bus,route_9,130.84313310000002
N_1739,bus,route_9,131.9684183
N_1640,car,route_10,132.71776060000002
N_1821,motorcycle,route_9,134.06539990000002
N_1824,car,route_9,134.065412
N_1848,car,route_9,134.5575158
N_1849,car,route_9,134.55752370000002
N_1920,motorcycle,route_9,136.397468
N_1918,motorcycle,route_9,136.5509862
N_1954,car,route_9,137.01314580000002
N_1925,motorcycle,route_9,137.8611539
N_2045,car,route_10,138.5513971
N_2057,car,route_9,138.6273994
N_2060,car,route_10,138.7052851
N_2051,motorcycle,route_9,138.78066900000002
N_2073,car,route_10,138.9327732
N_2087,motorcycle,route_9,139.1609804
N_2093,motorcycle,route_9,139.2396165
N_2156,car,route_9,140.4731836
N_2147,car,route_9,140.5506484
N_2210,car,route_9,141.2390206
N_2224,car,route_10,141.319688
N_2309,car,route_9,143.01357620000002
N_2302,car,route_10,143.09406900000002
N_2310,car,route_9,143.0940779
N_2318,car,route_9,143.4001529
N_2330,car,route_10,143.6319432
N_2230,car,route_9,144.4737464
N_2108,car,route_10,146.2452097
N_2427,car,route_10,146.39839980000002
N_2449,car,route_9,147.2442681
N_2502,car,route_10,149.0863481
N_2505,car,route_9,149.08640630000002
N_2515,car,route_9,149.396935
N_2367,car,route_9,149.4730179
N_2551,truck,route_10,150.70396820000002
N_2581,truck,route_10,151.2412567
N_2394,car,route_9,151.40089640000002
N_2607,car,route_9,152.1692243
N_2447,car,route_9,153.62682080000002
N_2775,car,route_10,156.6964814
N_2783,car,route_9,157.6164031
N_2834,car,route_9,158.2301856
N_2856,motorcycle,route_9,158.8400235
N_2867,motorcycle,route_9,159.068868
N_2994,car,route_9,161.9023117
N_3006,car,route_9,162.1355703
N_3008,car,route_9,162.4427829
N_2614,car,route_10,162.519821
N_3025,car,route_9,162.6765703
N_3037,bus,route_9,163.2154317
N_3061,motorcycle,route_9,163.5979148
N_3075,motorcycle,route_11,163.90338250000002
N_3098,motorcycle,route_9,164.4385738
N_3186,car,route_9,166.75257100000002
N_3196,car,route_9,166.90569440000002
N_3228,car,route_9,167.6723536
N_3235,car,route_9,167.8243496
N_3239,car,route_9,167.90402260000002
N_3242,car,route_10,168.0551012
N_3253,car,route_9,168.20852050000002
N_3260,car,route_9,168.3638731
N_3053,car,route_9,168.97384870000002
N_3172,car,route_9,170.89635280000002
N_3105,car,route_9,171.8167103
N_3393,car,route_9,172.58949470000002
N_3430,motorcycle,route_9,173.5868524
N_3079,truck,route_10,173.89493760000002
N_3333,car,route_9,173.8949681
N_3420,car,route_9,174.66448830000002
N_3445,car,route_9,174.9696165
N_3489,car,route_9,174.9696423
N_3496,car,route_9,175.1219469
N_3512,car,route_11,175.5115418
N_3555,car,route_9,176.74781760000002
N_3564,car,route_9,177.0532473
N_3572,car,route_9,177.2057398
N_3579,motorcycle,route_9,177.357584
N_3627,motorcycle,route_9,178.4367963
N_3616,motorcycle,route_9,178.5142276
N_3643,motorcycle,route_9,178.74840220000002
N_3413,car,route_9,180.13136060000002
N_3720,car,route_10,180.66915840000001
N_3724,car,route_10,180.8210685
N_3727,motorcycle,route_9,180.8973132
N_3732,motorcycle,route_9,181.0494504
N_3751,car,route_9,181.8199087
N_3778,car,route_9,182.43229780000001
N_3782,motorcycle,route_9,182.513507
N_3803,car,route_9,183.0521378
N_3806,car,route_11,183.128962
N_3540,car,route_9,183.97948390000002
N_3837,car,route_10,183.97955710000002
N_3893,motorcycle,route_11,185.2918421
N_3908,car,route_9,185.67222900000002
N_3923,car,route_9,185.9875493
N_3932,car,route_9,186.14464470000001
N_3950,motorcycle,route_9,186.76175120000002
N_3804,car,route_10,186.9132812
N_4019,motorcycle,route_9,188.36872290000002
N_4080,motorcycle,route_9,190.2101488
N_4091,motorcycle,route_9,190.5171535
N_4096,motorcycle,route_9,190.593199
N_4105,motorcycle,route_9,190.6684806
N_4120,motorcycle,route_9,190.90116460000002
N_4135,car,route_9,191.4449155
N_4161,car,route_10,191.6006782
N_4176,car,route_10,191.83448090000002
N_4197,car,route_10,192.29969830000002
N_4196,car,route_9,192.29973080000002
N_4211,car,route_10,192.67996910000002
N_4231,motorcycle,route_9,192.9846425
N_4226,car,route_10,193.29166030000002
N_4286,car,route_9,195.1546528
N_4102,car,route_9,195.617613
N_4329,car,route_10,195.8453656
N_4355,car,route_9,196.3052505
N_4365,car,route_9,196.53646940000002
N_4394,car,route_9,197.15216460000002
N_4430,car,route_9,198.00047980000002
N_4439,car,route_9,198.2308686
N_4400,car,route_9,199.9331434
N_4460,car,route_9,200.7029671
N_4521,motorcycle,route_9,200.7807924
N_4449,car,route_10,201.8639908
N_4597,car,route_9,203.25474490000002
N_4606,car,route_9,203.56253700000002
N_4614,car,route_11,203.8679861
N_4652,motorcycle,route_9,205.4168378
N_4660,motorcycle,route_9,205.6442783
N_4673,motorcycle,route_9,206.5640375
N_4431,car,route_9,207.41062680000002
N_4730,motorcycle,route_9,208.8771184
N_4616,car,route_10,209.10748940000002
N_4670,car,route_9,209.1833392
N_4740,motorcycle,route_11,209.25976970000002
N_4741,motorcycle,route_9,209.41376160000002
N_4762,motorcycle,route_9,210.1025564
N_4774,car,route_9,210.41274230000002
N_4777,car,route_9,210.5703482
N_4770,motorcycle,route_10,210.72468360000002
N_4798,motorcycle,route_10,211.1094161
N_4810,motorcycle,route_9,211.5780927
N_4816,motorcycle,route_9,212.12151400000002
N_4834,motorcycle,route_9,212.50256770000001
N_4856,motorcycle,route_10,213.19268730000002
N_4859,motorcycle,route_9,213.3473658
N_4849,motorcycle,route_9,213.42380980000002
N_4889,motorcycle,route_9,214.1894064
N_4879,car,route_10,214.2684523
N_4898,motorcycle,route_9,214.8874969
N_4916,motorcycle,route_9,215.19134250000002
N_4923,motorcycle,route_9,215.4205436
N_4928,motorcycle,route_9,215.57470410000002
N_4799,car,route_9,216.1884965
