Name,Class,Direction,Time
N_0,bus,route_10,3.1440279
S_6,motorcycle,route_3,5.193529600000001
S_8,motorcycle,route_3,5.638299600000001
S_9,motorcycle,route_3,5.9253656
S_11,motorcycle,route_3,6.0848977
S_12,motorcycle,route_3,6.325590600000001
S_13,motorcycle,route_3,6.3256015
W_35,car,route_2,7.3568899
W_47,car,route_2,8.793318600000001
N_49,truck,route_10,10.4722657
S_25,motorcycle,route_5,13.217177
W_58,motorcycle,route_1,13.7094285
W_59,motorcycle,route_1,13.8620353
W_60,motorcycle,route_1,14.0858526
W_61,motorcycle,route_1,14.4617317
S_66,motorcycle,route_3,17.213526899999998
E_137,car,route_8,17.6571493
S_80,motorcycle,route_4,20.3391748
S_82,motorcycle,route_4,20.4952849
S_86,motorcycle,route_4,20.9586058
N_185,bus,route_10,23.3684669
E_189,bus,route_6,23.3989932
W_150,motorcycle,route_1,24.2602525
E_195,car,route_8,24.2733116
E_245,truck,route_8,30.0163245
N_254,car,route_11,31.6905321
S_153,motorcycle,route_5,32.8357461
S_164,motorcycle,route_3,34.6907189
S_147,motorcycle,route_3,34.7659679
E_283,truck,route_8,35.436420299999995
E_277,bus,route_6,37.1734695
E_303,bus,route_6,39.2764945
S_186,motorcycle,route_3,40.0415936
S_190,motorcycle,route_5,40.0416302
S_198,motorcycle,route_3,41.4582759
S_219,motorcycle,route_3,42.7243727
S_199,motorcycle,route_5,43.103441
S_223,motorcycle,route_3,43.698692
S_234,motorcycle,route_3,43.9364964
S_243,motorcycle,route_3,44.8967155
E_334,truck,route_6,44.9793507
S_244,motorcycle,route_3,45.1461059
S_252,motorcycle,route_5,48.1944374
S_265,motorcycle,route_5,48.6855915
S_299,motorcycle,route_3,51.374076
W_328,bus,route_2,51.6186147
W_392,car,route_2,58.8868372
S_401,motorcycle,route_3,59.6954111
S_402,motorcycle,route_3,59.8438287
S_404,motorcycle,route_3,60.20968379999999
S_412,motorcycle,route_4,60.896389600000006
W_421,motorcycle,route_1,61.992424
W_423,motorcycle,route_1,62.2171
S_435,car,route_5,70.3387126
N_621,motorcycle,route_11,70.7208893
W_526,car,route_0,70.847427
W_529,car,route_0,70.9975065
S_470,car,route_5,71.6400982
S_484,motorcycle,route_3,73.2412063
E_365,motorcycle,route_6,74.03626779999999
N_464,car,route_10,74.12627979999999
S_488,motorcycle,route_3,74.2555827
S_492,motorcycle,route_3,74.619826
S_494,motorcycle,route_3,75.4153109
N_828,car,route_10,77.3592714
N_884,car,route_10,78.3838557
N_933,car,route_9,79.5629223
W_595,bus,route_0,80.6725914
W_605,truck,route_2,81.2779048
N_1009,motorcycle,route_9,81.3767745
E_392,motorcycle,route_7,81.40217609999999
N_761,car,route_10,82.0047931
N_1103,car,route_10,83.42380109999999
N_1039,car,route_11,83.5018637
N_1093,car,route_9,83.6576532
N_1115,car,route_9,83.8928437
N_1189,car,route_11,86.0205412
N_296,car,route_9,86.7282819
N_782,car,route_10,86.728297
N_1210,motorcycle,route_9,86.7283391
N_1251,motorcycle,route_11,87.8273339
N_1254,car,route_10,87.8273537
S_568,motorcycle,route_3,87.9569896
N_1261,car,route_10,88.1401356
N_1267,motorcycle,route_11,88.3774942
N_1154,car,route_10,88.4550509
N_1272,motorcycle,route_9,88.5333971
N_1375,car,route_10,91.7768429
N_1377,car,route_9,92.0111565
N_1382,car,route_10,92.0111984
N_1394,car,route_9,92.3292506
S_578,motorcycle,route_3,92.4455797
N_1401,car,route_11,92.644979
N_1186,car,route_10,92.723184
S_585,motorcycle,route_5,92.7357294
N_1409,car,route_11,92.805286
